target;time
36;01/01/2011
1;02/01/2011
115;03/01/2011
477;04/01/2011
267;05/01/2011
312;06/01/2011
224;07/01/2011
163;08/01/2011
253;09/01/2011
358;10/01/2011
133;11/01/2011
74;12/01/2011
21;01/01/2012
306;02/01/2012
59;03/01/2012
232;04/01/2012
98;05/01/2012
107;06/01/2012
213;07/01/2012
522;08/01/2012
282;09/01/2012
277;10/01/2012
205;11/01/2012
131;12/01/2012
9;01/01/2013
269;02/01/2013
27;03/01/2013
147;04/01/2013
464;05/01/2013
210;06/01/2013
288;07/01/2013
217;08/01/2013
442;09/01/2013
154;10/01/2013
107;11/01/2013
93;12/01/2013
75;01/01/2014
118;02/01/2014
52;03/01/2014
166;04/01/2014
271;05/01/2014
535;06/01/2014
728;07/01/2014
890;08/01/2014
736;09/01/2014
297;10/01/2014
76;11/01/2014
85;12/01/2014
129;01/01/2015
61;02/01/2015
154;03/01/2015
334;04/01/2015
588;05/01/2015
854;06/01/2015
914;07/01/2015
654;08/01/2015
504;09/01/2015
376;10/01/2015
240;11/01/2015
89;12/01/2015
38;01/01/2016
534;02/01/2016
123;03/01/2016
436;04/01/2016
784;05/01/2016
1431;06/01/2016
738;07/01/2016
603;08/01/2016
472;09/01/2016
346;10/01/2016
272;11/01/2016
65;12/01/2016
38;01/01/2017
43;02/01/2017
315;03/01/2017
297;04/01/2017
691;05/01/2017
1045;06/01/2017
808;07/01/2017
376;08/01/2017
238;09/01/2017
431;10/01/2017
220;11/01/2017
120;12/01/2017
