date;target
1;3651
2;4232
3;3919
4;3514
5;4206
6;3090
7;5610
8;4861
9;3534
10;4666
11;4626
12;3960
13;4178
14;3991
15;8978
16;3688
17;4333
18;3694
19;3327
20;5476
21;3915
22;3595
23;7069
24;5518
25;4051
26;4000
27;3990
28;3248
29;4143
30;5106
31;3377
32;5105
33;5410
34;4104
35;4231
36;4085
37;2970
38;3061
39;3707
40;3686
41;4248
42;4928
43;4622
44;3703
45;4877
46;5173
47;3727
48;4469
49;3842
50;5067
51;4295
52;3502
53;5105
54;3499
55;4269
56;5646
57;4244
58;4228
59;5339
60;2511
61;3153
62;3657
63;3003
64;4441
65;8005
66;5210
67;7732
68;6180
69;1310
70;1383
71;3027
72;1810
73;3377
74;356
