time;target;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/01/2015;48512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/01/2015;47517;;;;IBOVESPA (^BVSP) - Jan_2015 a Jul_2020;;;;;;;;;;;;;;;;;;;;;;;;;
06/01/2015;48001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/01/2015;49463;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/01/2015;49943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/01/2015;48840;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/01/2015;48140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/01/2015;48042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/01/2015;47646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/01/2015;48026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/01/2015;49017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/01/2015;47758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/01/2015;47877;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/01/2015;49224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/01/2015;49443;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/01/2015;48775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/01/2015;48577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/01/2015;48591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/01/2015;47695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/01/2015;47762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/01/2015;46908;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/02/2015;47651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/02/2015;48964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/02/2015;49301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/02/2015;49234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/02/2015;48792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/02/2015;49383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/02/2015;48510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/02/2015;48240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/02/2015;49533;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/02/2015;50636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/02/2015;51280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/02/2015;51294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/02/2015;51238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/02/2015;51281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/02/2015;51874;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/02/2015;51811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/02/2015;51761;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/02/2015;51583;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/03/2015;51021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/03/2015;51304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/03/2015;50468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/03/2015;50365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/03/2015;49981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/03/2015;49181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/2015;48293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/03/2015;48906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/03/2015;48880;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/03/2015;48596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/03/2015;48848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/03/2015;50285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/03/2015;51526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/03/2015;50954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/03/2015;51967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/03/2015;51908;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/03/2015;51506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/03/2015;51858;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/03/2015;50580;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/03/2015;50095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/03/2015;51243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2015;51150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/04/2015;52322;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/04/2015;53123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/04/2015;53737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/04/2015;53729;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/04/2015;53661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/04/2015;53803;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/04/2015;54214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/04/2015;54240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/04/2015;53982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/04/2015;54919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/04/2015;54674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/04/2015;53955;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/04/2015;53761;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/04/2015;54617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/04/2015;55685;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/04/2015;56594;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/04/2015;55535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/04/2015;55812;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/04/2015;55325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/04/2015;56229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/05/2015;57354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/05/2015;58052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/05/2015;57103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/05/2015;56921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/05/2015;57149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/05/2015;57197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/05/2015;56792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/05/2015;56372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/05/2015;56657;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/05/2015;57249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/05/2015;56204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/05/2015;55499;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/05/2015;54901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/05/2015;55112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/05/2015;54377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/05/2015;54609;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/05/2015;53630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/05/2015;54236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/05/2015;53976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/05/2015;52760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/06/2015;53031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/06/2015;54236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/06/2015;53523;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/06/2015;52973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/06/2015;52810;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/06/2015;52816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/06/2015;53876;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/06/2015;53689;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/06/2015;53348;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/06/2015;53138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/06/2015;53702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/06/2015;53249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/06/2015;54239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/06/2015;53749;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/06/2015;53864;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/06/2015;53772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/06/2015;53843;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/06/2015;53176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/06/2015;54017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/06/2015;53014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/06/2015;53081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/07/2015;52758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
