time;target;target%;;
02.01.2015;52,69;-3,44%;;
05.01.2015;50,04;-5,03%;;
06.01.2015;47,93;-4,22%;;
07.01.2015;48,65;1,50%;;
08.01.2015;48,79;0,29%;;
09.01.2015;48,36;-0,88%;;Petróleo WTI Futuros Dados Históricos - Jan_2015 a Jul_2020
12.01.2015;46,07;-4,74%;;
13.01.2015;45,89;-0,39%;;
14.01.2015;48,48;5,64%;;
15.01.2015;46,25;-4,60%;;
16.01.2015;48,69;5,28%;;
18.01.2015;48,85;0,32%;;
19.01.2015;47,78;-2,18%;;
20.01.2015;46,39;-2,91%;;
21.01.2015;47,78;3,00%;;
22.01.2015;46,31;-3,08%;;
23.01.2015;45,59;-1,55%;;
26.01.2015;45,15;-0,97%;;
27.01.2015;46,23;2,39%;;
28.01.2015;44,45;-3,85%;;
29.01.2015;44,53;0,18%;;
30.01.2015;48,24;8,33%;;
02.02.2015;49,57;2,76%;;
03.02.2015;53,05;7,02%;;
04.02.2015;48,45;-8,67%;;
05.02.2015;50,48;4,19%;;
06.02.2015;51,69;2,40%;;
09.02.2015;52,86;2,26%;;
10.02.2015;50,02;-5,37%;;
11.02.2015;48,84;-2,36%;;
12.02.2015;51,21;4,85%;;
13.02.2015;52,78;3,07%;;
15.02.2015;54,06;2,42%;;
16.02.2015;53,61;-0,82%;;
17.02.2015;53,53;-0,15%;;
18.02.2015;52,14;-2,60%;;
19.02.2015;51,16;-1,88%;;
20.02.2015;50,34;-1,60%;;
23.02.2015;49,45;-1,77%;;
24.02.2015;49,28;-0,34%;;
25.02.2015;50,99;3,47%;;
26.02.2015;48,17;-5,53%;;
27.02.2015;49,76;3,30%;;
02.03.2015;49,59;-0,34%;;
03.03.2015;50,52;1,88%;;
04.03.2015;51,53;2,00%;;
05.03.2015;50,76;-1,49%;;
06.03.2015;49,61;-2,27%;;
09.03.2015;50;0,79%;;
10.03.2015;48,29;-3,42%;;
11.03.2015;48,17;-0,25%;;
12.03.2015;47,05;-2,33%;;
13.03.2015;44,84;-4,70%;;
16.03.2015;43,88;-2,14%;;
17.03.2015;43,46;-0,96%;;
18.03.2015;44,66;2,76%;;
19.03.2015;43,96;-1,57%;;
20.03.2015;45,72;4,00%;;
23.03.2015;47,45;3,78%;;
24.03.2015;47,51;0,13%;;
25.03.2015;49,21;3,58%;;
26.03.2015;51,43;4,51%;;
27.03.2015;48,87;-4,98%;;
30.03.2015;48,68;-0,39%;;
31.03.2015;47,6;-2,22%;;
01.04.2015;50,09;5,23%;;
02.04.2015;49,14;-1,90%;;
03.04.2015;49,14;0,00%;;
06.04.2015;52,14;6,11%;;
07.04.2015;53,98;3,53%;;
08.04.2015;50,42;-6,60%;;
09.04.2015;50,79;0,73%;;
10.04.2015;51,64;1,67%;;
13.04.2015;51,91;0,52%;;
14.04.2015;53,29;2,66%;;
