time;target;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/15;3.284;;;;;DET LIMPA ALUMINIO JUA 24X500ML (DLAJ500) - Jan_2015 a Dez_2019;;;;;;;;;;;;;;;;;;;;;;;
fev/15;5.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/15;4.948;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/15;5.261;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/15;4.917;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/15;5.250;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/15;7.528;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/15;6.056;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/15;6.318;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/15;4.156;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/15;6.654;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/15;5.048;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/16;5.749;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/16;7.057;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/16;9.021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/16;8.660;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/16;9.255;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/16;7.429;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/16;6.238;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/16;9.416;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/16;8.340;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/16;7.907;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/16;8.462;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/16;11.029;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/17;9.850;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/17;5.161;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/17;8.041;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/17;6.823;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/17;8.984;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/17;8.064;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/17;9.622;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/17;9.537;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/17;9.068;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/17;9.976;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/17;6.836;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/17;8.006;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/18;6.789;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/18;9.209;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/18;10.368;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/18;12.202;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/18;8.331;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/18;12.179;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/18;6.642;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/18;5.761;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/18;8.125;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/18;7.628;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/18;7.388;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/18;8.426;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/19;7.543;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/19;6.747;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/19;8.058;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/19;8.308;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/19;9.660;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/19;7.853;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/19;8.455;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/19;6.664;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/19;11.327;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/19;10.800;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/19;6.301;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/19;8.282;;;;;;;;;;;;;;;;;;;;;;;;;;;;
