time;target;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/15;5.414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/15;10.423;;;;;LV ROUPAS EM PO JUA FRESH 24X500G (LRPJUF500)- Mar_2015 a Dez_2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/15;11.972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/15;9.995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/15;12.734;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/15;10.813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/15;8.845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/15;16.106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/15;6.920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/15;7.587;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/16;7.659;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/16;10.888;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/16;11.597;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/16;9.597;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/16;11.054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/16;6.067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/16;12.333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/16;10.393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/16;6.247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/16;8.316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/16;10.663;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/16;4.484;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/17;8.330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/17;5.012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/17;8.471;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/17;7.051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/17;7.827;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/17;6.092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/17;8.177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/17;8.913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/17;6.395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/17;7.383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/17;7.496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/17;5.169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/18;7.653;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/18;7.164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/18;3.082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/18;6.205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/18;9.947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/18;10.211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/18;13.416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/18;10.343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/18;4.855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/18;6.246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/18;8.140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/18;4.772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/19;6.765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/19;7.537;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/19;7.625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/19;11.947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/19;5.656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/19;7.954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/19;8.373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/19;8.987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/19;6.847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/19;6.866;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/19;5.196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/19;6.205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
