;MGLU3.SA.Close
02/01/2015;0,93125
05/01/2015;0,94875
06/01/2015;0,93625
07/01/2015;0,9675
08/01/2015;0,96
09/01/2015;0,9275
12/01/2015;0,9375
13/01/2015;0,9275
14/01/2015;0,9125
15/01/2015;0,91
16/01/2015;0,9175
19/01/2015;0,9125
20/01/2015;0,875
21/01/2015;0,88125
22/01/2015;0,8775
23/01/2015;0,88125
26/01/2015;0,875
27/01/2015;0,85
28/01/2015;0,82625
29/01/2015;0,85625
30/01/2015;0,85
02/02/2015;0,855
03/02/2015;0,82
04/02/2015;0,81125
05/02/2015;0,8
06/02/2015;0,76125
09/02/2015;0,75375
10/02/2015;0,7675
11/02/2015;0,725
12/02/2015;0,7375
13/02/2015;0,76125
18/02/2015;0,765
19/02/2015;0,795
20/02/2015;0,79375
23/02/2015;0,8025
24/02/2015;0,825
25/02/2015;0,805
26/02/2015;0,8225
27/02/2015;0,75625
02/03/2015;0,76
03/03/2015;0,735
04/03/2015;0,69375
05/03/2015;0,68625
06/03/2015;0,66625
09/03/2015;0,63375
10/03/2015;0,66125
11/03/2015;0,65625
12/03/2015;0,6875
13/03/2015;0,6575
16/03/2015;0,6375
17/03/2015;0,63
18/03/2015;0,62375
19/03/2015;0,63625
20/03/2015;0,63875
23/03/2015;0,63875
24/03/2015;0,63375
25/03/2015;0,625
26/03/2015;0,6225
27/03/2015;0,61875
30/03/2015;0,63
31/03/2015;0,63625
01/04/2015;0,655
02/04/2015;0,6875
06/04/2015;0,68625
07/04/2015;0,67875
08/04/2015;0,6325
09/04/2015;0,62625
10/04/2015;0,63375
13/04/2015;0,63
14/04/2015;0,62875
15/04/2015;0,63375
16/04/2015;0,65
17/04/2015;0,64125
20/04/2015;0,63375
22/04/2015;0,6375
23/04/2015;0,63625
24/04/2015;0,645
27/04/2015;0,655
28/04/2015;0,6325
29/04/2015;0,62
30/04/2015;0,62875
04/05/2015;0,6575
05/05/2015;0,68125
06/05/2015;0,69375
07/05/2015;0,68625
08/05/2015;0,6275
11/05/2015;0,62375
12/05/2015;0,6225
13/05/2015;0,62
14/05/2015;0,5975
15/05/2015;0,6075
18/05/2015;0,6025
19/05/2015;0,59125
20/05/2015;0,5775
21/05/2015;0,58
22/05/2015;0,57125
25/05/2015;0,56625
26/05/2015;0,5475
27/05/2015;0,55
28/05/2015;0,54875
29/05/2015;0,535
01/06/2015;0,54
02/06/2015;0,53125
03/06/2015;0,51375
05/06/2015;0,51125
08/06/2015;0,5075
09/06/2015;0,51
10/06/2015;0,50125
11/06/2015;0,4975
12/06/2015;0,48875
15/06/2015;0,485
16/06/2015;0,4825
17/06/2015;0,48875
18/06/2015;0,48
19/06/2015;0,4875
22/06/2015;0,49375
23/06/2015;0,4775
24/06/2015;0,46375
25/06/2015;0,4475
26/06/2015;0,4475
29/06/2015;0,44
30/06/2015;0,44125
