time;target;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/01/2015;9,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/01/2015;8,56;;;;Petroleo Brasileiro S.A. - Petrobras (PETR4.SA) - Jan_2015 a Jul_2020;;;;;;;;;;;;;;;;;;;;;;;;;
06/01/2015;8,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/01/2015;8,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/01/2015;9,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/01/2015;9,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/01/2015;8,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/01/2015;9,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/01/2015;8,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/01/2015;9,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/01/2015;9,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/01/2015;9,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/01/2015;9,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/01/2015;9,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/01/2015;10,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/01/2015;9,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/01/2015;9,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/01/2015;10,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/01/2015;9,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/01/2015;8,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/01/2015;8,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/02/2015;8,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/02/2015;9,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/02/2015;10,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/02/2015;9,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/02/2015;9,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/02/2015;9,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/02/2015;8,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/02/2015;9,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/02/2015;9,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/02/2015;10,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/02/2015;10,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/02/2015;9,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/02/2015;9,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/02/2015;9,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/02/2015;9,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/02/2015;9,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/02/2015;9,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/02/2015;9,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/03/2015;9,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/03/2015;9,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/03/2015;9,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/03/2015;9,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/03/2015;9,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/03/2015;8,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/2015;8,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/03/2015;8,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/03/2015;8,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/03/2015;8,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/03/2015;8,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/03/2015;8,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/03/2015;9,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/03/2015;8,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/03/2015;9,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/03/2015;9,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/03/2015;9,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/03/2015;9,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/03/2015;9,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/03/2015;9,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/03/2015;9,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2015;9,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/04/2015;10,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/04/2015;10,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/04/2015;10,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/04/2015;10,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/04/2015;10,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/04/2015;11,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/04/2015;11,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/04/2015;12,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/04/2015;12,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/04/2015;13,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/04/2015;12,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/04/2015;12,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/04/2015;13,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/04/2015;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
