time;target
jan/00;43.909
fev/00;50.737
mar/00;50.069
abr/00;51.998
mai/00;58.71
jun/00;51.573
jul/00;57.291
ago/00;64.211
set/00;39.698
out/00;56.746
nov/00;61.848
dez/00;48.194
jan/01;58.794
fev/01;57.311
mar/01;72.037
abr/01;66.538
mai/01;70.224
jun/01;63.56
jul/01;63.782
ago/01;60.845
set/01;64.288
out/01;67.647
nov/01;59.594
dez/01;48.539
jan/02;63.954
fev/02;60.667
mar/02;70.903
abr/02;77.587
mai/02;78.481
jun/02;54.871
jul/02;75.468
ago/02;75.443
set/02;75.994
out/02;84.783
nov/02;83.535
dez/02;59.783
jan/03;79.461
fev/03;83.386
mar/03;77.966
abr/03;88.114
mai/03;87.599
jun/03;79.197
jul/03;73.295
ago/03;88.795
set/03;84.116
out/03;80.626
nov/03;82.071
dez/03;49.994
jan/04;82.764
fev/04;68.217
mar/04;94.694
abr/04;89.993
mai/04;90.028
jun/04;84.756
jul/04;73.307
ago/04;107.102
set/04;103.463
out/04;98.79
nov/04;95.63
dez/04;68.589
jan/05;80.462
fev/05;88.401
mar/05;111.683
abr/05;106.628
mai/05;107.924
jun/05;114.891
jul/05;74.178
ago/05;120.493
set/05;100.877
out/05;106.426
nov/05;112.249
dez/05;89.305
jan/06;102.269
fev/06;107.571
mar/06;132.659
abr/06;111.883
mai/06;139.633
jun/06;117.922
jul/06;92.055
ago/06;143.472
set/06;121.875
out/06;133.418
nov/06;141.838
dez/06;68.467
jan/07;149.002
fev/07;130.044
mar/07;157.549
abr/07;142.017
mai/07;156.688
jun/07;141.208
jul/07;110.566
ago/07;176.467
set/07;145.63
out/07;171.885
nov/07;168.067
dez/07;85.226
jan/08;187.238
fev/08;168.177
mar/08;184.79
abr/08;190.812
mai/08;186.658
jun/08;193.278
jul/08;159.967
ago/08;202.574
set/08;210.28
out/08;155.819
nov/08;179.569
dez/08;121.745
jan/09;81.003
fev/09;88.828
mar/09;135.333
abr/09;134.226
mai/09;148.617
jun/09;143.23
jul/09;134.002
ago/09;160.987
set/09;165.831
out/09;144.737
nov/09;121.644
dez/09;81.035
jan/10;128.035
fev/10;122.429
mar/10;151.619
abr/10;151.072
mai/10;169.85
jun/10;142.556
jul/10;148.134
ago/10;172.976
set/10;182.481
out/10;169.467
nov/10;181.657
dez/10;110.338
jan/11;180.397
fev/11;171.132
mar/11;181.553
abr/11;178.646
mai/11;203.856
jun/11;163.177
jul/11;160.221
ago/11;217.642
set/11;187.475
out/11;195.426
nov/11;195.599
dez/11;101.767
jan/12;176.981
fev/12;153.113
mar/12;179.451
abr/12;145.697
mai/12;171.734
jun/12;140.914
jul/12;75.837
ago/12;178.084
set/12;130.94
out/12;133.357
nov/12;137.853
dez/12;66.226
jan/13;127.22
fev/13;123.371
mar/13;132.608
abr/13;154.672
mai/13;148.682
jun/13;153.392
jul/13;114.673
ago/13;157.854
set/13;150.731
out/13;172.826
nov/13;156.044
dez/13;81.404
jan/14;146.557
fev/14;140.259
mar/14;125.357
abr/14;146.902
mai/14;136.08
jun/14;77.788
jul/14;136.004
ago/14;129.767
set/14;127.813
out/14;144.596
nov/14;121.719
dez/14;84.82
jan/15;122.063
fev/15;110.823
mar/15;127.301
abr/15;101.86
mai/15;118.56
jun/15;116.933
jul/15;102.45
ago/15;113.982
set/15;118.743
out/15;104.388
nov/15;74.972
dez/15;50.633
jan/16;75.959
fev/16;71.137
mar/16;80.53
abr/16;63.036
mai/16;92.308
jun/16;81.762
jul/16;75.033
ago/16;92.725
set/16;80.509
out/16;71.52
nov/16;70.32
dez/16;32.814
jan/17;81.646
fev/17;67.319
mar/17;82.416
abr/17;64.38
mai/17;77.73
jun/17;50.259
jul/17;71.482
ago/17;80.192
set/17;76.668
out/17;78.67
nov/17;83.106
dez/17;69.008
jan/18;81.319
fev/18;83.644
mar/18;94.632
abr/18;88.373
mai/18;97.235
jun/18;50.212
jul/18;96.338
ago/18;105.339
set/18;80.687
out/18;101.089
nov/18;90.108
dez/18;67.812
jan/19;83.92
fev/19;101.305
mar/19;91.535
abr/19;91.226
mai/19;100.998
jun/19;68.121
jul/19;91.713
ago/19;114.738
set/19;92.894
out/19;109.118
nov/19;93.128
dez/19;69.062
jan/20;100.292
fev/20;94.442
mar/20;102.865
abr/20;1.679
mai/20;14.809
jun/20;78.13
