time;target;
1995;116.348166666667;
1996;129.25875;
1997;139.483166666667;
1998;144.93775;
1999;161.236916666667;
2000;183.369666666667;
2001;202.324333333333;
2002;229.578166666667;
2003;281.79275;
2004;308.251416666667;
2005;326.655166666667;
2006;332.325;
2007;349.192166666667;
2008;388.311083333333;
2009;395.357833333333;
2010;417.40125;
2011;452.926583333333;
2012;480.008833333333;
2013;509.213;
2014;536.570916666667;
2015;573.640833333333;
2016;632.013833333333;
2017;638.227833333333;
2018;675.25325;
2019;715.998916666667;
