time;target
jul/94;10.3
ago/94;0.14
set/94;0.38
out/94;1.32
nov/94;2.36
dez/94;1.32
jan/95;3.5
fev/95;2.09
mar/95;3.3
abr/95;2.3
mai/95;8.77
jun/95;3.12
jul/95;1.09
ago/95;0.62
set/95;0.72
out/95;0.86
nov/95;0.73
dez/95;0.86
jan/96;1.52
fev/96;0.11
mar/96;0.98
abr/96;0.25
mai/96;2.16
jun/96;1.54
jul/96;0.75
ago/96;0.23
set/96;0.22
out/96;0.26
nov/96;0.58
dez/96;0.59
jan/97;0.32
fev/97;0.48
mar/97;0.73
abr/97;0.23
mai/97;0.86
jun/97;1.11
jul/97;0.51
ago/97;1.18
set/97;0.27
out/97;0.15
nov/97;0.54
dez/97;0.23
jan/98;0.33
fev/98;0.48
mar/98;0.47
abr/98;-0.5
mai/98;0.98
jun/98;0.39
jul/98;0.34
ago/98;0.22
set/98;0.01
out/98;0.01
nov/98;-0.05
dez/98;0.05
jan/99;0.55
fev/99;0.98
mar/99;0.55
abr/99;0.52
mai/99;0.86
jun/99;0.41
jul/99;0.46
ago/99;0.69
set/99;0.86
out/99;1.01
nov/99;0.91
dez/99;1.04
jan/00;1.07
fev/00;0.77
mar/00;0.56
abr/00;0.6
mai/00;1.35
jun/00;0.73
jul/00;0.3
ago/00;0.39
set/00;0.26
out/00;0.33
nov/00;0.41
dez/00;0.64
jan/01;0.58
fev/01;0.34
mar/01;0.27
abr/01;0.36
mai/01;2.11
jun/01;1.16
jul/01;0.52
ago/01;0.62
set/01;0.55
out/01;0.93
nov/01;0.74
dez/01;0.34
jan/02;0.36
fev/02;0.58
mar/02;0.55
abr/02;0.33
mai/02;2.53
jun/02;0.57
jul/02;0.29
ago/02;1
set/02;0.71
out/02;1.13
nov/02;2.45
dez/02;1.7
jan/03;1.51
fev/03;1.39
mar/03;1.38
abr/03;0.9
mai/03;2.84
jun/03;1.05
jul/03;0.99
ago/03;1.44
set/03;0.22
out/03;0.65
nov/03;1.04
dez/03;0.16
jan/04;0.33
fev/04;1
mar/04;1.16
abr/04;0.59
mai/04;1.83
jun/04;0.7
jul/04;1.12
ago/04;0.81
set/04;0.58
out/04;1.19
nov/04;0.71
dez/04;0.51
jan/05;0.75
fev/05;0.44
mar/05;0.67
abr/05;0.72
mai/05;2.09
jun/05;0.76
jul/05;0.11
ago/05;0.02
set/05;0.24
out/05;0.19
nov/05;0.28
dez/05;0.37
jan/06;0.34
fev/06;0.19
mar/06;0.2
abr/06;0.36
mai/06;1.32
jun/06;0.9
jul/06;0.47
ago/06;0.24
set/06;0.11
out/06;0.21
nov/06;0.23
dez/06;0.36
jan/07;0.45
fev/07;0.21
mar/07;0.27
abr/07;0.46
mai/07;1.15
jun/07;0.92
jul/07;0.31
ago/07;0.26
set/07;0.51
out/07;0.51
nov/07;0.36
dez/07;0.59
jan/08;0.38
fev/08;0.4
mar/08;0.66
abr/08;0.87
mai/08;2.02
jun/08;1.92
jul/08;1.46
ago/08;1.18
set/08;0.95
out/08;0.77
nov/08;0.5
dez/08;0.17
jan/09;0.33
fev/09;0.27
mar/09;-0.25
abr/09;-0.04
mai/09;1.39
jun/09;0.7
jul/09;0.26
ago/09;-0.05
set/09;0.15
out/09;0.06
nov/09;0.29
dez/09;0.1
jan/10;0.64
fev/10;0.36
mar/10;0.75
abr/10;0.84
mai/10;1.81
jun/10;1.09
jul/10;0.44
ago/10;0.14
set/10;0.21
out/10;0.2
nov/10;0.37
dez/10;0.67
jan/11;0.41
fev/11;0.28
mar/11;0.43
abr/11;1.06
mai/11;2.94
jun/11;0.37
jul/11;0.45
ago/11;0.13
set/11;0.14
out/11;0.23
nov/11;0.72
dez/11;0.11
jan/12;0.89
fev/12;0.3
mar/12;0.51
abr/12;0.75
mai/12;1.88
jun/12;0.73
jul/12;0.67
ago/12;0.26
set/12;0.22
out/12;0.21
nov/12;0.33
dez/12;0.16
jan/13;0.65
fev/13;0.6
mar/13;0.5
abr/13;0.74
mai/13;2.25
jun/13;1.15
jul/13;0.48
ago/13;0.31
set/13;0.43
out/13;0.26
nov/13;0.35
dez/13;0.1
jan/14;0.88
fev/14;0.33
mar/14;0.28
abr/14;0.88
mai/14;2.05
jun/14;0.66
jul/14;0.75
ago/14;0.08
set/14;0.15
out/14;0.17
nov/14;0.44
dez/14;0.08
jan/15;0.92
fev/15;0.31
mar/15;0.62
abr/15;0.46
mai/15;0.95
jun/15;1.84
jul/15;0.55
ago/15;0.59
set/15;0.22
out/15;0.36
nov/15;0.34
dez/15;0.1
jan/16;0.39
fev/16;0.54
mar/16;0.64
abr/16;0.55
mai/16;0.08
jun/16;1.93
jul/16;0.49
ago/16;0.29
set/16;0.33
out/16;0.21
nov/16;0.16
dez/16;0.35
jan/17;0.29
fev/17;0.53
mar/17;0.36
abr/17;-0.08
mai/17;0.13
jun/17;1.36
jul/17;0.22
ago/17;0.4
set/17;0.14
out/17;0.19
nov/17;0.28
dez/17;0.14
jan/18;0.28
fev/18;0.14
mar/18;0.23
abr/18;0.28
mai/18;0.3
jun/18;0.76
jul/18;0.72
ago/18;0.3
