Time;target
fev/50;-1.5
Mar-50;-1.3
abr/50;-1.2
mai/50;-1.2
Jun-50;-1.1
Jul-50;-0.9
ago/50;-0.5
set/50;-0.4
out/50;-0.4
Nov-50;-0.4
dez/50;-0.6
Jan-51;-0.8
fev/51;0.8
Mar-51;-0.5
abr/51;-0.2
mai/51;0.2
Jun-51;0.4
Jul-51;0.6
ago/51;0.7
set/51;0.9
out/51;1
Nov-51;1.2
dez/51;1
Jan-52;0.8
fev/52;0.5
Mar-52;0.4
abr/52;0.3
mai/52;0.3
Jun-52;0.2
Jul-52;0
ago/52;-0.1
set/52;0
out/52;0.2
Nov-52;0.1
dez/52;0
Jan-53;0.1
fev/53;0.4
Mar-53;0.6
abr/53;0.6
mai/53;0.7
Jun-53;0.8
Jul-53;0.8
ago/53;0.7
set/53;0.7
out/53;0.8
Nov-53;0.8
dez/53;0.8
Jan-54;0.8
fev/54;0.8
Mar-54;0.5
abr/54;0
mai/54;-0.4
Jun-54;-0.5
Jul-54;-0.5
ago/54;-0.6
set/54;-0.8
out/54;-0.9
Nov-54;-0.8
dez/54;-0.7
Jan-55;-0.7
fev/55;-0.7
Mar-55;-0.6
abr/55;-0.7
mai/55;-0.8
Jun-55;-0.8
Jul-55;-0.7
ago/55;-0.7
set/55;-0.7
out/55;-1.1
Nov-55;-1.4
dez/55;-1.7
Jan-56;-1.5
fev/56;1.1
Mar-56;-0.8
abr/56;-0.6
mai/56;-0.5
Jun-56;-0.5
Jul-56;-0.5
ago/56;-0.6
set/56;-0.6
out/56;-0.5
Nov-56;-0.4
dez/56;-0.4
Jan-57;-0.4
fev/57;-0.2
Mar-57;0.1
abr/57;0.4
mai/57;0.7
Jun-57;0.9
Jul-57;1.1
ago/57;1.3
set/57;1.3
out/57;1.3
Nov-57;1.4
dez/57;1.5
Jan-58;1.7
fev/58;1.8
Mar-58;1.7
abr/58;1.3
mai/58;0.9
Jun-58;0.7
Jul-58;0.6
ago/58;0.6
set/58;0.4
out/58;0.4
Nov-58;0.4
dez/58;0.5
Jan-59;0.6
fev/59;0.6
Mar-59;0.6
abr/59;0.5
mai/59;0.3
Jun-59;0.2
Jul-59;-0.1
ago/59;-0.2
set/59;-0.3
out/59;-0.1
Nov-59;0
dez/59;0
Jan-60;0
fev/60;-0.1
Mar-60;-0.1
abr/60;-0.1
mai/60;0
Jun-60;0
Jul-60;0
ago/60;0.1
set/60;0.2
out/60;0.3
Nov-60;0.2
dez/60;0.1
Jan-61;0.1
fev/61;0
Mar-61;0
abr/61;0
mai/61;0.1
Jun-61;0.2
Jul-61;0.3
ago/61;0.1
set/61;-0.1
out/61;-0.3
Nov-61;-0.3
dez/61;-0.2
Jan-62;-0.2
fev/62;-0.2
Mar-62;-0.2
abr/62;-0.2
mai/62;-0.3
Jun-62;-0.3
Jul-62;-0.2
ago/62;0
set/62;-0.1
out/62;-0.1
Nov-62;-0.2
dez/62;-0.3
Jan-63;-0.4
fev/63;-0.4
Mar-63;-0.2
abr/63;0.2
mai/63;0.3
Jun-63;0.3
Jul-63;0.5
ago/63;0.9
set/63;1.1
out/63;1.2
Nov-63;1.3
dez/63;1.4
Jan-64;1.3
fev/64;1.1
Mar-64;0.6
abr/64;0.1
mai/64;-0.3
Jun-64;-0.6
Jul-64;-0.6
ago/64;-0.6
set/64;-0.7
out/64;-0.8
Nov-64;-0.8
dez/64;-0.8
Jan-65;-0.8
fev/65;-0.6
Mar-65;-0.3
abr/65;-0.1
mai/65;0.2
Jun-65;0.5
Jul-65;0.8
ago/65;1.2
set/65;1.5
out/65;1.9
Nov-65;2
dez/65;2
Jan-66;1.7
fev/66;1.4
Mar-66;1.2
abr/66;1
mai/66;0.7
Jun-66;0.4
Jul-66;0.2
ago/66;0.2
set/66;0.1
out/66;-0.1
Nov-66;-0.1
dez/66;-0.2
Jan-67;-0.3
fev/67;-0.4
Mar-67;-0.5
abr/67;-0.5
mai/67;-0.4
Jun-67;-0.2
Jul-67;0
ago/67;0
set/67;-0.2
out/67;-0.3
Nov-67;-0.4
dez/67;-0.3
Jan-68;-0.4
fev/68;-0.6
Mar-68;-0.7
abr/68;-0.6
mai/68;-0.4
Jun-68;0
Jul-68;0.3
ago/68;0.6
set/68;0.5
out/68;0.4
Nov-68;0.5
dez/68;0.7
Jan-69;1
fev/69;1.1
Mar-69;1.1
abr/69;0.9
mai/69;0.8
Jun-69;0.6
Jul-69;0.4
ago/69;0.4
set/69;0.5
out/69;0.8
Nov-69;0.9
dez/69;0.8
Jan-70;0.6
fev/70;0.5
Mar-70;0.3
abr/70;0.3
mai/70;0.2
Jun-70;0
Jul-70;-0.3
ago/70;-0.6
set/70;-0.8
out/70;-0.8
Nov-70;-0.7
dez/70;-0.9
Jan-71;-1.1
fev/71;-1.4
Mar-71;-1.4
abr/71;-1.1
mai/71;-0.8
Jun-71;-0.7
Jul-71;-0.7
ago/71;-0.8
set/71;-0.8
out/71;-0.8
Nov-71;-0.9
dez/71;-1
Jan-72;-0.9
fev/72;-0.7
Mar-72;-0.4
abr/72;0.1
mai/72;0.4
Jun-72;0.7
Jul-72;0.9
ago/72;1.1
set/72;1.4
out/72;1.6
Nov-72;1.8
dez/72;2.1
Jan-73;2.1
fev/73;1.8
Mar-73;1.2
abr/73;0.5
mai/73;-0.1
Jun-73;-0.5
Jul-73;-0.9
ago/73;-1.1
set/73;-1.3
out/73;-1.5
Nov-73;-1.7
dez/73;-1.9
Jan-74;-2
fev/74;-1.8
Mar-74;-1.6
abr/74;-1.2
mai/74;-1
Jun-74;-0.9
Jul-74;-0.8
ago/74;-0.5
set/74;-0.4
out/74;-0.4
Nov-74;-0.6
dez/74;-0.8
Jan-75;-0.6
fev/75;-0.5
Mar-75;-0.6
abr/75;-0.7
mai/75;-0.7
Jun-75;-0.8
Jul-75;-1
ago/75;-1.1
set/75;-1.2
out/75;-1.4
Nov-75;-1.4
dez/75;-1.6
Jan-76;-1.7
fev/76;-1.6
Mar-76;-1.2
abr/76;-0.7
mai/76;-0.5
Jun-76;-0.3
Jul-76;0
ago/76;0.2
set/76;0.4
out/76;0.6
Nov-76;0.8
dez/76;0.9
Jan-77;0.8
fev/77;0.7
Mar-77;0.6
abr/77;0.3
mai/77;0.2
Jun-77;0.2
Jul-77;0.3
ago/77;0.4
set/77;0.4
out/77;0.6
Nov-77;0.7
dez/77;0.8
Jan-78;0.8
fev/78;0.7
Mar-78;0.4
abr/78;0.1
mai/78;-0.2
Jun-78;-0.3
Jul-78;-0.3
ago/78;-0.4
set/78;-0.4
out/78;-0.4
Nov-78;-0.3
dez/78;-0.1
Jan-79;0
fev/79;0
Mar-79;0.1
abr/79;0.2
mai/79;0.3
Jun-79;0.2
Jul-79;0
ago/79;0
set/79;0.2
out/79;0.3
Nov-79;0.5
dez/79;0.5
Jan-80;0.6
fev/80;0.6
Mar-80;0.5
abr/80;0.3
mai/80;0.4
Jun-80;0.5
Jul-80;0.5
ago/80;0.3
set/80;0
out/80;-0.1
