time;target;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/57;2317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/57;2144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/57;2660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/57;2449;;;;;;Produção Nacional de Veículos (PNVEI) - Jan_1957 a Jun_2020;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/57;2788;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/57;2740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/57;2846;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/57;2740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/57;2635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/57;2646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/57;2264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/57;2313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/58;4633;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/58;4333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/58;5308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/58;4920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/58;5563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/58;5453;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/58;5566;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/58;5561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/58;5202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/58;5264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/58;4584;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/58;4596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/59;7188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/59;6742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/59;8307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/59;7764;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/59;8754;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/59;8578;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/59;8815;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/59;8818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/59;8221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/59;8305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/59;7249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/59;7373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/60;10258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/60;9545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/60;11759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/60;10896;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/60;12214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/60;11930;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/60;12204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/60;12054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/60;11217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
