date;conf_acu;conf_inc;target;deaths_acu;deaths_inc
12/03/2020;2;2;;0;0
13/03/2020;2;0;;0;0
14/03/2020;7;5;;0;0
15/03/2020;8;1;;0;0
16/03/2020;8;0;;0;0
17/03/2020;18;10;;0;0
18/03/2020;19;1;;0;0
19/03/2020;28;9;2.714285714;0;0
20/03/2020;31;3;3.714285714;0;0
21/03/2020;33;2;4.142857143;0;0
22/03/2020;37;4;3.714285714;0;0
23/03/2020;42;5;4.142857143;0;0
24/03/2020;42;0;4.857142857;0;0
25/03/2020;46;4;3.428571429;1;1
26/03/2020;48;2;3.857142857;3;2
27/03/2020;57;9;2.857142857;4;1
28/03/2020;68;11;3.714285714;5;1
29/03/2020;73;5;5;5;0
30/03/2020;77;4;5.142857143;6;1
31/03/2020;87;10;5;6;0
01/04/2020;95;8;6.428571429;8;2
02/04/2020;106;11;7;9;1
03/04/2020;136;30;8.285714286;10;1
04/04/2020;176;40;11.28571429;14;4
05/04/2020;201;25;15.42857143;21;7
06/04/2020;223;22;18.28571429;30;9
07/04/2020;352;129;20.85714286;34;4
08/04/2020;401;49;37.85714286;46;12
09/04/2020;555;154;43.71428571;56;10
10/04/2020;684;129;64.14285714;65;9
11/04/2020;816;132;78.28571429;72;7
12/04/2020;960;144;91.42857143;85;13
13/04/2020;1154;194;108.4285714;102;17
14/04/2020;1284;130;133;115;13
15/04/2020;1484;200;133.1428571;143;28
16/04/2020;1683;199;154.7142857;160;17
17/04/2020;2006;323;161.1428571;186;26
18/04/2020;2193;187;188.8571429;205;19
19/04/2020;2459;266;196.7142857;216;11
20/04/2020;2690;231;214.1428571;234;18
21/04/2020;2908;218;219.4285714;260;26
22/04/2020;3298;390;232;282;22
23/04/2020;3604;306;259.1428571;312;30
24/04/2020;3999;395;274.4285714;352;40
25/04/2020;4507;508;284.7142857;381;29
26/04/2020;4898;391;330.5714286;415;34
27/04/2020;5358;460;348.4285714;450;35
28/04/2020;5724;366;381.1428571;508;58
29/04/2020;6194;470;402.2857143;538;30
30/04/2020;6876;682;413.7142857;565;27
01/05/2020;7334;458;467.4285714;603;38
02/05/2020;8145;811;476.4285714;628;25
03/05/2020;8643;498;519.7142857;652;24
04/05/2020;8863;220;535;691;39
05/05/2020;9325;462;500.7142857;749;58
06/05/2020;9881;556;514.4285714;803;54
07/05/2020;10824;943;526.7142857;845;42
08/05/2020;11587;763;564;927;82
09/05/2020;12470;883;607.5714286;972;45
10/05/2020;13275;805;617.8571429;1047;75
11/05/2020;13768;493;661.7142857;1087;40
12/05/2020;14309;541;700.7142857;1157;70
13/05/2020;14901;592;712;1224;67
14/05/2020;15588;687;717.1428571;1298;74
15/05/2020;16209;621;680.5714286;1381;83
16/05/2020;18488;2279;660.2857143;1461;80
17/05/2020;19452;964;859.7142857;1516;55
18/05/2020;20094;642;882.4285714;1640;124
19/05/2020;21242;1148;903.7142857;1741;101
20/05/2020;22560;1318;990.4285714;1834;93
21/05/2020;23911;1351;1094.142857;1925;91
22/05/2020;25760;1849;1189;2057;132
23/05/2020;26786;1026;1364.428571;2144;87
24/05/2020;27759;973;1185.428571;2200;56
25/05/2020;28366;607;1186.714286;2248;48
26/05/2020;28854;488;1181.714286;2328;80
27/05/2020;29919;1065;1087.428571;2468;140
28/05/2020;30713;794;1051.285714;2566;98
29/05/2020;32255;1542;971.7142857;2669;103
30/05/2020;33427;1172;927.8571429;2740;71
31/05/2020;34450;1023;948.7142857;2807;67
01/06/2020;34900;450;955.8571429;2875;68
02/06/2020;35508;608;933.4285714;2933;58
03/06/2020;36463;955;950.5714286;3012;79
04/06/2020;37507;1044;934.8571429;3134;122
05/06/2020;38511;1004;970.5714286;3205;71
06/06/2020;39361;850;893.7142857;3270;65
07/06/2020;40242;881;847.7142857;3305;35
08/06/2020;40705;463;827.4285714;3350;45
09/06/2020;41010;305;829.2857143;3453;103
10/06/2020;41935;925;786;3531;78
11/06/2020;42994;1059;781.7142857;3633;102
12/06/2020;43872;878;783.8571429;3694;61
13/06/2020;44671;799;765.8571429;3784;90
14/06/2020;45261;590;758.5714286;3855;71
15/06/2020;45507;246;717;3886;31
16/06/2020;46427;920;686;3959;73
17/06/2020;47446;1019;773.8571429;4009;50
18/06/2020;48626;1180;787.2857143;4057;48
19/06/2020;49720;1094;804.5714286;4102;45
20/06/2020;51118;1398;835.4285714;4148;46
21/06/2020;52113;995;921;4234;86
22/06/2020;52494;381;978.8571429;4252;18
23/06/2020;52831;337;998.1428571;4339;87
24/06/2020;54022;1191;914.8571429;4425;86
25/06/2020;55136;1114;939.4285714;4488;63
26/06/2020;55804;668;930;4610;122
27/06/2020;57089;1285;869.1428571;4708;98
28/06/2020;58107;1018;853;4751;43
29/06/2020;58476;369;856.2857143;4782;31
30/06/2020;58858;382;854.5714286;4829;47
01/07/2020;59705;847;861;4894;65
02/07/2020;61119;1414;811.8571429;4968;74
03/07/2020;62362;1243;854.7142857;5068;100
04/07/2020;63457;1095;936.8571429;5116;48
05/07/2020;65129;1672;909.7142857;5143;27
06/07/2020;65642;513;1003.142857;5163;20
07/07/2020;66151;509;1023.714286;5234;71
08/07/2020;67604;1453;1041.857143;5323;89
09/07/2020;68767;1163;1128.428571;5409;86
10/07/2020;70100;1333;1092.571429;5482;73
11/07/2020;71370;1270;1105.428571;5556;74
12/07/2020;72470;1100;1130.428571;5595;39
13/07/2020;72901;431;1048.714286;5652;57
14/07/2020;73576;675;1037;5715;63
15/07/2020;74960;1384;1060.714286;5772;57
16/07/2020;76091;1131;1050.857143;5836;64
17/07/2020;77423;1332;1046.285714;5869;33
18/07/2020;78509;1086;1046.142857;5928;59
19/07/2020;79452;943;1019.857143;5984;56
20/07/2020;80115;663;997.4285714;6036;52
21/07/2020;80441;326;1030.571429;6089;53
22/07/2020;81382;941;980.7142857;6152;63
