date;conf_acu;conf_in;deaths_acu;deaths_inc;target
12/03/2020;2;2;0;0;
13/03/2020;2;0;0;0;
14/03/2020;7;5;0;0;
15/03/2020;8;1;0;0;
16/03/2020;8;0;0;0;
17/03/2020;18;10;0;0;
18/03/2020;19;1;0;0;
19/03/2020;28;9;0;0;0
20/03/2020;31;3;0;0;0
21/03/2020;33;2;0;0;0
22/03/2020;37;4;0;0;0
23/03/2020;42;5;0;0;0
24/03/2020;42;0;0;0;0
25/03/2020;46;4;1;1;0
26/03/2020;48;2;3;2;0.142857143
27/03/2020;57;9;4;1;0.428571429
28/03/2020;68;11;5;1;0.571428571
29/03/2020;73;5;5;0;0.714285714
30/03/2020;77;4;6;1;0.714285714
31/03/2020;87;10;6;0;0.857142857
01/04/2020;95;8;8;2;0.857142857
02/04/2020;106;11;9;1;1
03/04/2020;136;30;10;1;0.857142857
04/04/2020;176;40;14;4;0.857142857
05/04/2020;201;25;21;7;1.285714286
06/04/2020;223;22;30;9;2.285714286
07/04/2020;352;129;34;4;3.428571429
08/04/2020;401;49;46;12;4
09/04/2020;555;154;56;10;5.428571429
10/04/2020;684;129;65;9;6.714285714
11/04/2020;816;132;72;7;7.857142857
12/04/2020;960;144;85;13;8.285714286
13/04/2020;1154;194;102;17;9.142857143
14/04/2020;1284;130;115;13;10.28571429
15/04/2020;1484;200;143;28;11.57142857
16/04/2020;1683;199;160;17;13.85714286
17/04/2020;2006;323;186;26;14.85714286
18/04/2020;2193;187;205;19;17.28571429
19/04/2020;2459;266;216;11;19
20/04/2020;2690;231;234;18;18.71428571
21/04/2020;2908;218;260;26;18.85714286
22/04/2020;3298;390;282;22;20.71428571
23/04/2020;3604;306;312;30;19.85714286
24/04/2020;3999;395;352;40;21.71428571
25/04/2020;4507;508;381;29;23.71428571
26/04/2020;4898;391;415;34;25.14285714
27/04/2020;5358;460;450;35;28.42857143
28/04/2020;5724;366;508;58;30.85714286
29/04/2020;6194;470;538;30;35.42857143
30/04/2020;6876;682;565;27;36.57142857
01/05/2020;7334;458;603;38;36.14285714
02/05/2020;8145;811;628;25;35.85714286
03/05/2020;8643;498;652;24;35.28571429
04/05/2020;8863;220;691;39;33.85714286
05/05/2020;9325;462;749;58;34.42857143
06/05/2020;9881;556;803;54;34.42857143
07/05/2020;10824;943;845;42;37.85714286
08/05/2020;11587;763;927;82;40
09/05/2020;12470;883;972;45;46.28571429
10/05/2020;13275;805;1047;75;49.14285714
11/05/2020;13768;493;1087;40;56.42857143
12/05/2020;14309;541;1157;70;56.57142857
13/05/2020;14901;592;1224;67;58.28571429
14/05/2020;15588;687;1298;74;60.14285714
15/05/2020;16209;621;1381;83;64.71428571
16/05/2020;18488;2279;1461;80;64.85714286
17/05/2020;19452;964;1516;55;69.85714286
18/05/2020;20094;642;1640;124;67
19/05/2020;21242;1148;1741;101;79
20/05/2020;22560;1318;1834;93;83.42857143
21/05/2020;23911;1351;1925;91;87.14285714
22/05/2020;25760;1849;2057;132;89.57142857
23/05/2020;26786;1026;2144;87;96.57142857
24/05/2020;27759;973;2200;56;97.57142857
25/05/2020;28366;607;2248;48;97.71428571
26/05/2020;28854;488;2328;80;86.85714286
27/05/2020;29919;1065;2468;140;83.85714286
28/05/2020;30713;794;2566;98;90.57142857
29/05/2020;32255;1542;2669;103;91.57142857
30/05/2020;33427;1172;2740;71;87.42857143
31/05/2020;34450;1023;2807;67;85.14285714
01/06/2020;34900;450;2875;68;86.71428571
02/06/2020;35508;608;2933;58;89.57142857
03/06/2020;36463;955;3012;79;86.42857143
04/06/2020;37507;1044;3134;122;77.71428571
05/06/2020;38511;1004;3205;71;81.14285714
06/06/2020;39361;850;3270;65;76.57142857
07/06/2020;40242;881;3305;35;75.71428571
08/06/2020;40705;463;3350;45;71.14285714
09/06/2020;41010;305;3453;103;67.85714286
10/06/2020;41935;925;3531;78;74.28571429
11/06/2020;42994;1059;3633;102;74.14285714
12/06/2020;43872;878;3694;61;71.28571429
13/06/2020;44671;799;3784;90;69.85714286
14/06/2020;45261;590;3855;71;73.42857143
15/06/2020;45507;246;3886;31;78.57142857
16/06/2020;46427;920;3959;73;76.57142857
17/06/2020;47446;1019;4009;50;72.28571429
18/06/2020;48626;1180;4057;48;68.28571429
19/06/2020;49720;1094;4102;45;60.57142857
20/06/2020;51118;1398;4148;46;58.28571429
21/06/2020;52113;995;4234;86;52
22/06/2020;52494;381;4252;18;54.14285714
23/06/2020;52831;337;4339;87;52.28571429
24/06/2020;54022;1191;4425;86;54.28571429
25/06/2020;55136;1114;4488;63;59.42857143
26/06/2020;55804;668;4610;122;61.57142857
27/06/2020;57089;1285;4708;98;72.57142857
28/06/2020;58107;1018;4751;43;80
29/06/2020;58476;369;4782;31;73.85714286
30/06/2020;58858;382;4829;47;75.71428571
01/07/2020;59705;847;4894;65;70
02/07/2020;61119;1414;4968;74;67
03/07/2020;62362;1243;5068;100;68.57142857
04/07/2020;63457;1095;5116;48;65.42857143
05/07/2020;65129;1672;5143;27;58.28571429
06/07/2020;65642;513;5163;20;56
07/07/2020;66151;509;5234;71;54.42857143
08/07/2020;67604;1453;5323;89;57.85714286
09/07/2020;68767;1163;5409;86;61.28571429
10/07/2020;70100;1333;5482;73;63
11/07/2020;71370;1270;5556;74;59.14285714
12/07/2020;72470;1100;5595;39;62.85714286
13/07/2020;72901;431;5652;57;64.57142857
14/07/2020;73576;675;5715;63;69.85714286
15/07/2020;74960;1384;5772;57;68.71428571
16/07/2020;76091;1131;5836;64;64.14285714
17/07/2020;77423;1332;5869;33;61
18/07/2020;78509;1086;5928;59;55.28571429
19/07/2020;79452;943;5984;56;53.14285714
20/07/2020;80115;663;6036;52;55.57142857
21/07/2020;80441;326;6089;53;54.85714286
22/07/2020;81382;941;6152;63;53.42857143
