"","ts.poaz","c.NA..ts.diff.","X61000"
"1",6114300,NA,61000
"2",6206700,92400,61000
"3",6308800,102100,61000
"4",6406300,97500,61000
"5",6513300,107000,61000
"6",6622400,109100,61000
"7",6717900,95500,61000
"8",6822700,104800,61000
"9",6928000,105300,61000
"10",7021200,93200,61000
"11",7131900,110700,61000
"12",7218500,86600,61000
"13",7324100,105600,61000
"14",7440000,115900,61000
"15",7549600,109600,61000
"16",7643500,93900,61000
"17",7726200,82700,61000
"18",7799800,73600,61000
"19",7879700,79900,61000
"20",7953400,73700,61000
"21",8016200,62800,61000
"22",8081000,64800,61000
