"","OBS","ARIMA","ETS","NNAR","FTS_GA"
"1",13055,13041.9450065275,13035.9975,NA,NA
"2",13563,13054.9999999978,13054.9980911281,13592.5692032789,NA
"3",13867,13563,13562.9489693168,14118.1591714333,NA
"4",14696,13867,13866.9694569419,14415.4069351162,15314.4951597192
"5",15460,14696,14695.9167207951,15143.5969351525,16242.9002085643
"6",15311,15460,15459.9232449896,15695.9673675367,15427.7776037667
"7",15603,15311,15311.0149598945,15597.3645619892,15812.0900591155
"8",15861,15603,15602.9706690155,15786.5097909494,16052.9246340131
"9",16807,15861,15860.974079993,15939.9296122637,17261.2867125735
"10",16919,16807,16806.9049681739,16400.6576042499,17104.9542555001
"11",16388,16919,16918.9887396367,16445.5383909383,16085.2489677649
"12",15433,16388,16388.053339796,16215.3495248068,14675.9584992234
"13",15497,15433,15433.095938664,15678.4240074808,15173.7842904147
"14",15145,15497,15496.9935805991,15719.7763813275,14771.6545428234
"15",15163,15145,15145.0353590658,15482.3303216781,15249.4361000091
"16",15984,15163,15162.9981953849,15495.0693526092,16191.5691528621
"17",16859,15984,15983.9175273118,16008.6747936982,17634.9248756598
"18",18150,16859,16858.9120947073,16421.7294145552,18971.3941700724
"19",18970,18150,18149.8703054127,16829.0186969484,19745.8747849766
"20",19328,18970,18969.9176149185,16995.9181264201,19793.6580957767
"21",19337,19328,19327.9640292911,17052.3274005846,19495.7636162366
"22",18876,19337,19336.9990923031,17053.6355447751,18561.6981656207
