"","OBS","ARIMA","ETS","NNAR","FTS_GA"
"1",7.99,7.98213882746,7.98600751420858,NA,NA
"2",7.96,8.11882352941191,8.13146841620892,8.10965558816127,NA
"3",7.83,8.08882352941123,8.10146882219239,8.08758675934209,NA
"4",8.1,7.95882352941123,7.97145167819632,7.99691693736585,8.16872116660575
"5",8.42,8.22882352941123,8.24142451446053,8.19438085945639,8.49761743076038
"6",8.67,8.54882352941123,8.56143736811357,8.47661773212089,8.74566700944682
"7",8.71,8.79882352941123,8.81145522936087,8.73613251375062,8.78001676628175
"8",8.84,8.83882352941123,8.85146609427847,8.78090804210112,8.90890268407211
"9",8.66,8.96882352941123,8.98145594473332,8.93261261092795,8.71799769514774
"10",8.51,8.78882352941123,8.80145480991671,8.72507908538564,8.56450134968023
"11",8.72,8.63882352941123,8.65142266133759,8.5660178209531,8.78349393786235
"12",8.69,8.84882352941123,8.86139350041841,8.79224226941264,8.75066648281844
"13",8.81,8.81882352941123,8.831400367724,8.75840795132556,8.87838796515171
"14",8.81,8.93882352941123,8.95138322165669,8.89676820459697,8.87221029807067
"15",9.22,8.93882352941123,8.95138108608744,8.89676820459697,9.29701630975316
"16",9.42,9.34882352941123,9.36136693127312,9.42835629049071,9.49249035995872
"17",9.69,9.54882352941123,9.56139380273234,9.7176466684581,9.76610009722743
"18",10.18,9.81882352941123,9.83139966369753,10.1328462423239,10.2631227250221
"19",10.58,10.3088235294112,10.3214125166365,10.9275120227938,10.6627572960829
"20",10.42,10.7088235294112,10.7214473821056,11.5730643948411,10.4890006483209
"21",11.07,10.5488235294112,10.5614732637552,11.3181361723116,11.1613987096651
"22",11.26,11.1988235294112,11.2114430863096,12.3007121586692,11.3319152142695
"23",11.27,11.3888235294112,11.4014939594849,12.5537895458024,11.3374857036984
"24",11.45,11.3988235294112,11.4114988223415,12.5665907041994,11.5214754027484
