"","OBS","ARIMA","ETS","NNAR","FTS_GA"
"1",6114300,6108287.64967284,6131695.74489268,NA,NA
"2",6206700,6216246.66666671,6229240.56473821,6224092.95592598,NA
"3",6308800,6308646.66666667,6326782.61467534,6308559.20516691,NA
"4",6406300,6410746.66666667,6424323.32211708,6405193.37083876,6428440.33756625
"5",6513300,6508246.66666667,6521862.22256074,6500298.16420223,6527516.32266806
"6",6622400,6615246.66666667,6619401.21377386,6607289.19841931,6634798.38118664
"7",6717900,6724346.66666667,6716941.66248468,6718519.09207817,6732116.32266806
"8",6822700,6819846.66666667,6814482.00276514,6817048.22563414,6838797.52985528
"9",6928000,6924646.66666667,6912023.89197206,6925741.90727697,6943672.18607845
"10",7021200,7029946.66666667,7009568.15607686,7034828.98585698,7037297.52985528
"11",7131900,7123146.66666667,7107113.14878689,7130676.70358741,7142899.84736326
"12",7218500,7233846.66666667,7204661.93811014,7242939.50704006,7244029.65273185
"13",7324100,7320446.66666667,7302211.0154689,7329078.04986318,7339516.34607739
"14",7440000,7426046.66666667,7399763.08852395,7431560.09213008,7446384.04232959
"15",7549600,7541946.66666667,7497321.02363391,7540172.16849266,7561562.54195109
"16",7643500,7651546.66666667,7594885.3940388,7638597.35223449,7655462.54195109
"17",7726200,7745446.66666667,7692454.26060888,7719270.19493936,7751187.6464896
"18",7799800,7828146.66666667,7790025.01414482,7787346.03568658,7832923.38745392
"19",7879700,7901746.66666667,7887594.34547974,7845493.6973283,7914651.79765152
"20",7953400,7981646.66666667,7985161.11801821,7905953.18324123,7992044.45735997
"21",8016200,8055346.66666667,8082722.32379619,7959223.73464024,8054844.45735997
"22",8081000,8118146.66666667,8180273.3947735,8002711.75573582,8123934.64116251
