"","OBS","ARIMA","ETS","NNAR","FTS_GA"
"1",738,737.262000369,738.4528125,NA,NA
"2",603,738.000000000582,738.000045958098,NA,NA
"3",472,603,603.013701797774,NA,320.825570132138
"4",346,472,472.013297204715,NA,197.090511809964
"5",272,346,346.012789689832,NA,160.255684197469
"6",65,272,272.007511910606,141.885463291264,-76.2916342210085
"7",38,65,65.0210101785213,139.294265621133,-80.3932489745603
"8",43,38,38.0027424910451,169.784293342644,42.2717364672765
"9",315,43,42.9994928045296,164.182227677583,411.596072160708
"10",297,315,314.972393372775,185.698826686062,379.043076656698
"11",691,297,297.00182410382,588.329178862215,790.228337191772
"12",1045,691,690.960011248209,1238.82533013235,1320.04064145177
"13",808,1045,1044.96406679497,1591.59367600167,811.060004011888
"14",376,808,808.024050611983,408.456383904157,93.05054892192
"15",238,376,376.043848178962,454.687687941437,-1.08048713675362
"16",431,238,238.014010727762,171.030038094159,428.190689783168
"17",220,431,430.980412932607,130.307495946681,194.314820060398
"18",120,220,220.021413407172,49.3860536667931,-30.5198367739252
