"","OBS","ARIMA","ETS","FTS_SA"
"1",21,20.9790000105,21.1699999999998,NA
"2",306,20.9999999987725,21.0000172541098,NA
"3",59,306,305.971073994075,NA
"4",232,59,59.0250662708146,58.8744860372119
"5",98,232,231.982443949962,201.262548038446
"6",107,98,98.0135985164989,98.5346581328684
"7",213,107,106.999087927304,62.3685801903028
"8",522,213,212.989241462469,233.555202383606
"9",282,522,521.968637026058,620.40466471166
"10",277,282,282.024355560129,290.16350164093
"11",205,277,277.000509945781,199.569918293601
"12",131,205,205.007307674749,173.620619064206
"13",9,131,131.00751135421,81.4647185807213
"14",269,9,9.01238312354383,-54.2043304672556
"15",27,269,268.97361261824,296.3350431578
"16",147,27,27.0245590546528,21.5173750210043
"17",464,147,146.987823120962,102.968756088017
"18",210,464,463.967824923993,568.02488407178
"19",288,210,210.025776404397,216.456376456047
"20",217,288,287.992086024596,229.141576297497
"21",442,217,217.007205325001,208.537961312237
"22",154,442,441.977164409453,473.75321863346
"23",107,154,154.029228174275,126.346135907493
"24",93,107,107.004773220404,6.66048141234327
"25",75,93,93.0014214111497,65.978840234934
"26",118,75,75.0018270500138,55.722447309481
"27",52,118,117.995635910594,114.149563169057
"28",166,52,52.006698211477,35.271588914796
"29",271,166,165.988430276763,168.840699856952
"30",535,271,270.989341875537,317.817214256112
"31",728,535,534.973204300619,621.527207115845
"32",890,728,727.980408790968,835.641221852525
"33",736,890,889.983555859863,971.685108141184
"34",297,736,736.015628524627,727.974657725589
"35",76,297,297.044557787511,130.582863535385
"36",85,76,76.0224348651766,-107.200736055608
"37",129,85,84.9990888241473,16.4403403127416
"38",61,129,128.995534137914,132.509912457639
"39",154,61,61.0069011906752,44.0022634372779
"40",334,154,153.990561687404,150.495125829184
"41",588,334,333.981729984581,395.580388553767
"42",854,588,587.97421847569,690.046990973396
"43",914,854,853.972999776146,974.921442306698
"44",654,914,913.993907573792,989.552777027934
"45",504,654,654.026388020232,588.615542197544
"46",376,504,504.015226892812,384.748225857656
"47",240,376,376.012992875213,291.52808972378
"48",89,240,240.013804606582,159.37228662984
"49",38,89,89.0153271104255,2.29618684874377
"50",534,38,38.005177788574,-27.2392775497154
"51",123,534,533.949659122685,636.076763001854
"52",436,123,123.041709238577,132.974687417369
"53",784,436,435.968236372207,399.28445594274
"54",1431,784,783.964676598364,936.858733575986
"55",738,1431,1430.9343293027,1650.75465074332
"56",603,738,738.070329206065,715
"57",472,603,603.013708931156,390.870359211944
"58",346,472,472.013297205439,390.911804672288
"59",272,346,346.012789689833,267.242230078397
"60",65,272,272.007511910606,207.694872447785
"61",38,65,65.0210101785213,-21.3957782394281
"62",43,38,38.0027424910451,-36.3011271005197
"63",315,43,42.9994928045296,26.4317526394361
"64",297,315,314.972393372775,377.850746083343
"65",691,297,297.00182410382,353.939398681774
"66",1045,691,690.960011248209,777.713303745772
"67",808,1045,1044.96406679497,1215.15750593397
"68",376,808,808.024050611983,828.654663055867
"69",238,376,376.043848178962,190.849890519897
"70",431,238,238.014010727762,77.557940469245
"71",220,431,430.980412932607,435.928154107596
"72",120,220,220.021413407172,204.746261924235
