"","OBS","ARIMA","ETS","NNAR","FTS_GA"
"1",436,435.564000218,481.2328125,NA,NA
"2",784,435.999999998501,440.904846019296,NA,NA
"3",1431,784,746.796279797063,NA,1852.10585992129
"4",738,1431,1356.80797637943,1226.68131432383,676.266844418291
"5",603,738,805.100798555321,413.772527937069,272.447532011249
"6",472,603,624.914916241181,243.666474566324,371.765627966151
"7",346,472,488.581416824711,458.807229377822,246.593094808142
"8",272,346,361.460897876696,123.59684715764,174.409146532898
"9",65,272,281.700743875547,153.944674445091,-46.4012894250923
"10",38,65,88.4980697027493,143.972439590247,-64.8783284604471
"11",43,38,43.4757872100844,205.759762748348,-16.3268407672808
"12",315,43,43.0515922595663,216.217011064139,435.949562798882
"13",297,315,285.511118114544,251.812522411234,402.354939966597
"14",691,297,295.754196489948,299.905522417121,833.194670883432
"15",1045,691,648.141294143723,718.52762620474,1384.04553898703
"16",808,1045,1001.96639815086,1043.8935950042,818.549749496814
"17",376,808,829.032857858382,432.625793455918,46.1393068384097
"18",238,376,425.124878305474,228.707240069524,-20.9467005713706
"19",431,238,258.290993722042,72.4145977156031,423.610052855098
"20",220,431,412.272199646242,207.744080881794,177.901940366091
"21",120,220,240.849146469857,174.109490200753,0.88804768431001
