"","OBS","ARIMA","ETS","FTS_SA"
"1",523,522.477000574155,449.3446875,NA
"2",387,478.782003355535,464.706808278065,NA
"3",394,465.95135642634,448.499676252855,NA
"4",431,436.563220340797,437.132802899874,NA
"5",582,426.411282862917,435.853698166513,NA
"6",422,425.204382870567,466.33509949155,NA
"7",389,475.910242674172,457.088228763838,NA
"8",588,461.274841603174,442.887221961585,NA
"9",446,433.709310495786,473.153063582536,NA
"10",704,483.759994297987,467.489810952261,NA
"11",673,464.207493632305,516.818202429716,NA
"12",466,535.380964729638,549.392684244724,NA
"13",483,582.566524922625,531.999662018738,NA
"14",436,547.91113506906,521.779914108277,NA
"15",630,530.521407367588,503.888992786568,NA
"16",721,496.357796603201,530.191678343108,NA
"17",494,532.353873723186,569.988135424911,NA
"18",890,595.146341088663,554.139463082404,NA
"19",567,552.233235342069,624.189130344543,NA
"20",734,661.847833341735,612.261323676892,NA
"21",810,628.495093756273,637.652082137626,NA
"22",478,656.771067797412,673.598294843597,NA
"23",693,712.750440498132,632.802803963413,NA
"24",411,636.887337589107,645.35799604158,NA
"25",757,662.79506548243,596.478482557797,NA
"26",512,577.533830528131,629.958089862774,NA
"27",1118,638.249229573157,605.355839709782,NA
"28",601,580.918848475767,712.27686467384,NA
"29",575,755.330938237242,689.068102442006,NA
"30",700,711.098061059573,665.277178105913,NA
"31",481,667.104071697838,672.519237987096,NA
"32",892,684.101980146863,632.574506705415,NA
"33",426,610.882009135728,686.682291000003,NA
"34",777,708.759387784953,632.312379270354,NA
"35",671,614.279038263553,662.489546799712,NA
"36",426,665.414118033895,664.264552641129,NA
"37",641,675.3060689911,614.570257544565,NA
"38",418,595.18851443835,620.082648734726,NA
"39",279,616.096354366671,577.934730931592,NA
"40",524,562.880660083296,515.586594925388,NA
"41",681,471.645965670595,517.34135966026,NA
"42",443,481.655854379401,551.475269543176,NA
"43",431,547.945403599462,528.850829627108,NA
"44",452,517.675460528383,508.442304947161,NA
"45",396,491.633165689724,496.670261951747,NA
"46",634,481.936622540836,475.67369469311,NA
"47",439,448.794943065165,508.695451602623,NA
"48",340,509.502196543477,494.159229993336,NA
"49",409,492.232531899285,462.006590491452,NA
"50",513,445.410429831228,450.951126635222,NA
"51",467,431.26206101024,463.892518836532,NA
"52",394,456.703949386768,464.540639105505,NA
"53",395,462.174301301768,449.828138663657,NA
"54",324,442.213932655685,438.392758653728,NA
"55",333,430.807276773384,414.534121510961,NA
"56",439,399.285190961454,397.528735481477,NA
"57",423,376.337309723842,406.178302671252,NA
"58",394,395.192358949416,409.686765771674,NA
"59",320,404.297876646042,406.415012761303,NA
"60",357,403.782543560284,388.39163035997,NA
"61",465,378.046439164605,381.844349510266,NA
"62",279,368.25396415188,399.187934145819,NA
"63",201,402.802141017492,374.120610449186,NA
"64",227,369.245506655752,338.013239010191,NA
"65",421,319.192557740981,314.859460582617,NA
"66",362,285.705626446697,336.996951153698,NA
"67",273,327.239764059472,342.211780107098,NA
"68",259,340.400129300398,327.776436760071,NA
"69",174,321.171711913578,313.431891983438,NA
"70",262,305.865006120367,284.350899828749,NA
"71",330,264.355611840372,279.689223555667,NA
"72",217,261.374725921202,290.18242761581,NA
"73",275,285.242568433364,274.918935361044,NA
"74",78,263.340705207901,274.935842828166,NA
