"","OBS","ARIMA","ETS","FTS_SA"
"1",13055,13041.9450065275,13035.9975,NA
"2",13563,13054.9999999978,13054.9980911281,NA
"3",13867,13563,13562.9489693168,NA
"4",14696,13867,13866.9694569419,14232.3997137338
"5",15460,14696,14695.9167207951,15111.3735883457
"6",15311,15460,15459.9232449896,15936.0587954019
"7",15603,15311,15311.0149598945,15646.3766540724
"8",15861,15603,15602.9706690155,15867.5681828123
"9",16807,15861,15860.974079993,16188.4893427562
"10",16919,16807,16806.9049681739,17234.6922569667
"11",16388,16919,16918.9887396367,17324.8233917801
"12",15433,16388,16388.053339796,16565.1469830622
"13",15497,15433,15433.095938664,15468.9128036074
"14",15145,15497,15496.9935805991,15596.2258075835
"15",15163,15145,15145.0353590658,15345.8943768192
"16",15984,15163,15162.9981953849,15358.1601168693
"17",16859,15984,15983.9175273118,16354.9898976081
"18",18150,16859,16858.9120947073,17349.1248162979
"19",18970,18150,18149.8703054127,18715.5274149675
"20",19328,18970,18969.9176149185,19529.3186609733
"21",19337,19328,19327.9640292911,19749.6613825921
"22",18876,19337,19336.9990923031,19636.0071566541
