"","OBS","ARIMA","ETS","FTS_SA"
"1",116.348166666667,116.253644371336,116.344814084464,NA
"2",129.25875,138.173990740759,141.33607693587,NA
"3",139.483166666667,151.084574074053,154.247461030316,NA
"4",144.93775,161.30899074072,164.470847985421,NA
"5",161.236916666667,166.763574074053,169.92427084415,169.122829467385
"6",183.369666666667,183.06274074072,186.220765584271,186.340743941067
"7",202.324333333333,205.19549074072,208.35226015182,209.595240383894
"8",229.578166666667,224.150157407386,227.306852192707,228.604354602979
"9",281.79275,251.40399074072,254.55953284888,256.867119090293
"10",308.251416666667,303.618574074053,306.77268942217,312.348342236952
"11",326.655166666667,330.07724074072,333.235785836867,335.969087286244
"12",332.325,348.48099074072,351.640217696251,353.476918089854
"13",349.192166666667,354.150824074053,357.31023671543,357.022038317844
"14",388.311083333333,371.01799074072,374.174729960877,375.100359649778
"15",395.357833333333,410.136907407386,413.291360310405,416.242572524708
"16",417.40125,417.183657407386,420.341648799779,420.117642498042
"17",452.926583333333,439.227074074053,442.382278706153,444.256857337809
"18",480.008833333333,474.752407407386,477.906424545721,481.022798434559
"19",509.213,501.834657407386,504.990288315638,507.76959965076
"20",536.570916666667,531.038824074054,534.194524740398,537.36367169273
"21",573.640833333333,558.39674074072,561.552986012223,564.382547091389
"22",632.013833333333,595.466657407386,598.622496870841,602.593450068174
"23",638.227833333333,653.839657407386,656.995294165318,664.129556594957
"24",675.25325,660.053657407386,663.216089191623,664.677472211201
"25",715.998916666667,697.079074074053,700.237588086789,704.751912839897
