"","OBS","ARIMA","ETS","FTS_SA"
"1",269,875.55522902234,170.631249999999,NA
"2",321,527.037252535189,268.990161675202,NA
"3",585,869.579886320181,320.994798249626,NA
"4",871,1158.9642798881,584.97359558881,NA
"5",1475,1414.89246518016,870.971393143987,NA
"6",2821,1975.0515367055,1474.9395882369,NA
"7",3928,3124.79347354889,2820.86537412004,NA
"8",5943,3472.66007850244,3927.88927022002,NA
"9",4950,5095.5771423657,5942.79845922751,NA
"10",2577,2386.40207201146,4950.09929447819,NA
"11",523,503.751042429579,2577.23734490514,NA
"12",98,-713.260662032189,523.205454010667,-433.745901204737
"13",184,32.2641124584867,98.0425268122501,-125.403425524203
"14",279,376.17362838155,183.991402985805,217.415571409981
"15",409,705.837183656762,278.990497740024,316.895380377622
"16",2285,941.844050831256,408.986997133642,464.434768235556
"17",2685,3128.90137096924,2284.81237105028,3151.46297210101
"18",3409,2271.10603209352,2684.95997533898,2872.40503510003
"19",1824,3153.17658668617,3408.92758532634,3758.79740840824
"20",409,538.451761645504,1824.15851611783,1055.79591296103
"21",151,164.090986030649,409.141536708787,-288.147301023173
"22",45,430.698191586938,151.025817958265,10.5255497848902
"23",68,522.605698777843,45.010604144447,-18.7356302158445
"24",213,759.996108866627,67.9977007215875,69.4999147128294
"25",546,988.473297356817,212.98549763297,276.151444087856
"26",1033,1351.06377263442,545.966693641662,703.82891184982
"27",2129,1728.81188685018,1032.95128949127,1267.83307074761
"28",2536,2695.85688383367,2128.89037897494,2578.52185239956
"29",957,2392.57578247858,2535.95928303775,2730.91062452336
"30",361,375.750864434036,957.157919199641,216.943080235535
"31",377,724.816119944774,361.059624578335,53.791548256014
"32",225,825.655204166566,376.998405727522,374.958506708743
"33",360,763.758581693386,225.015202080786,138.020427773356
"34",731,1090.25449893052,359.986499530748,418.101983354999
"35",1638,1439.90274759738,730.962893181807,907.887074835143
"36",2725,2289.74991343211,1637.90928292104,2078.23355352714
"37",2871,2927.0009423426,2724.89127490631,3250.72185016248
"38",2119,2395.53270177052,2870.98538697408,2934.65633633814
"39",684,1444.42536904182,2119.07520962176,1733.3337113379
"40",299,168.350874519237,684.143528671678,119.883551310543
"41",236,595.583308679704,299.038520029267,94.8975519906943
"42",245,632.632074876385,236.00630478109,194.002430267084
"43",552,845.384544752146,244.999100497925,239.418743210659
"44",1623,1252.48154639711,551.969295385347,696.771111423606
"45",3311,2336.18625073025,1622.89288114426,2141.22920043893
