"","OBS","ARIMA","ETS","FTS_SA"
"1",124,276.822470341366,110.720010886313,NA
"2",132,168.714203689314,156.464830948877,NA
"3",193,231.648948816582,164.444871304456,NA
"4",144,328.74860492993,225.467271453354,NA
"5",195,243.982220279274,176.399239453593,NA
"6",105,311.410972560697,227.407276958987,NA
"7",40,190.923945926803,137.302625892512,NA
"8",20,126.860177349214,72.2057168003448,NA
"9",42,143.987918949685,52.1505590776482,NA
"10",58,193.647320749209,74.1365054530944,NA
"11",170,211.177613811122,90.1214492635759,NA
"12",197,343.258383578881,202.189340872777,NA
"13",329,336.168248545465,229.192814277989,NA
"14",417,469.335310843961,361.279141427943,NA
"15",968,530.60078415353,449.337608300752,NA
"16",989,1171.80434248209,1000.79448958419,NA
"17",1264,992.481841857398,1021.83609946355,1071.6252508964
"18",1074,1208.89989379615,1297.04563617997,1478.98748704713
"19",352,869.537943936003,1106.87577483861,909.885438073112
"20",118,-48.2732646824281,384.196620449972,59.1690905637038
"21",69,-58.9191657667342,149.889495303437,-104.053753812507
"22",91,123.348698870172,100.792487187143,26.5635857673068
"23",182,221.574437299441,122.77587639831,174.989262752026
"24",233,341.201896485186,213.826430261124,321.933694134226
"25",406,370.35940011391,264.849037089818,349.48175645138
"26",550,552.425590032863,437.973775678566,552.776248192238
"27",853,665.61720915154,582.085370954591,695.981090027849
"28",835,962.928612009378,885.332308428503,1113.66562838413
"29",787,804.774270712104,867.315607163808,853.449359102237
"30",518,680.22575229721,819.240687541751,746.570130675852
"31",132,358.229003342954,549.970533632691,294.977839812504
"32",66,-31.2294683184181,163.576713232008,-176.326840811327
"33",57,76.7126304612985,97.450005622552,-10.2181969174307
"34",77,176.106443351348,88.4050495933094,91.9246471279918
"35",83,219.739959717596,108.39108010551,158.245481136752
"36",138,222.694823835215,114.36784568267,143.331722559036
"37",116,286.071786490447,169.385869521871,257.888097694236
"38",177,238.147221883317,147.341779892884,126.887723738383
"39",288,310.571502808206,208.362247419251,301.524234227743
"40",299,436.299151889119,319.434509545971,432.369977683519
"41",315,398.858102838641,330.424693448838,367.13436893824
"42",329,390.034762303748,346.409228111179,390.570625557712
"43",143,399.929364326044,360.392536996315,401.641136226051
"44",50,154.839619138173,174.201634078296,-74.249173071551
"45",59,96.0160812065645,81.0718193892665,-75.9780320511476
"46",74,181.52385924253,90.0401921159073,124.056317229687
"47",110,218.919620595455,105.024027457238,148.113462721721
"48",180,257.606771420125,141.026753026343,211.394517952748
"49",361,331.100663114742,211.061162837437,310.450629655877
"50",556,529.560917965229,392.195528315844,507
"51",687,700.594172021315,587.353056774157,705.505117723238
"52",821,759.987609167464,718.45614598618,832.309763129777
"53",799,841.572785830581,852.55533935851,966.873776472099
"54",901,738.314836584955,830.518994424317,809.887723738383
"55",478,844.783829572121,932.574966509196,1043.83530460047
"56",212,277.136695777354,509.186471974545,265.106717897351
"57",153,57.9045167096502,242.882415179658,-11.0016891326445
"58",207,169.621179757429,183.774482598043,90.5767605722306
"59",386,319.285575094636,237.785702666217,326.060435544092
"60",576,542.399530905845,416.916992584884,533.375978232515
"61",807,711.416518913463,607.070240236299,725.164695399527
"62",923,900.211163525636,838.260117256826,967.556192827635
"63",1604,926.308092687375,954.353848231269,1067.95280025631
"64",1475,1700.77974218536,1635.92760588989,2019.0421482972
"65",1123,1280.29917117838,1506.85254920703,1296.97462134969
"66",662,719.583918418704,1154.50244926693,862.027684091803
"67",253,281.268421709612,693.035513502022,256.583602698965
"68",116,-2.93125087488602,283.603364927633,-97.6491756661076
"69",70,66.4802278762427,146.413517606513,-70.8258755642844
"70",107,148.015896467087,100.330264773005,33.5834200320891
"71",147,242.057048325855,137.328426063675,209.51522149205
"72",155,291.036144017493,177.337508736652,252.778566890861
"73",266,279.233394961937,185.319039272109,218.495640757876
