"","OBS","ARIMA","ETS","FTS_SA"
"1",7.99,7.98213882746,7.98600751420858,NA
"2",7.96,8.11882352941191,8.13146841620892,NA
"3",7.83,8.08882352941123,8.10146882219239,NA
"4",8.1,7.95882352941123,7.97145167819632,8.03238325390935
"5",8.42,8.22882352941123,8.24142451446053,8.3112178837572
"6",8.67,8.54882352941123,8.56143736811357,8.66140604217183
"7",8.71,8.79882352941123,8.81145522936087,8.91048595747264
"8",8.84,8.83882352941123,8.85146609427847,8.93355264669771
"9",8.66,8.96882352941123,8.98145594473332,9.05844405850317
"10",8.51,8.78882352941123,8.80145480991671,8.86163498814381
"11",8.72,8.63882352941123,8.65142266133759,8.70837260461809
"12",8.69,8.84882352941123,8.86139350041841,8.92682102708255
"13",8.81,8.81882352941123,8.831400367724,8.9063289996742
"14",8.81,8.93882352941123,8.95138322165669,9.02290580502979
"15",9.22,8.93882352941123,8.95138108608744,9.02516607483783
"16",9.42,9.34882352941123,9.36136693127312,9.45050624093107
"17",9.69,9.54882352941123,9.56139380273234,9.66393522360294
"18",10.18,9.81882352941123,9.83139966369753,9.925
"19",10.58,10.3088235294112,10.3214125166365,10.4333425890248
"20",10.42,10.7088235294112,10.7214473821056,10.8377110200819
"21",11.07,10.5488235294112,10.5614732637552,10.636591174077
"22",11.26,11.1988235294112,11.2114430863096,11.3067762291672
"23",11.27,11.3888235294112,11.4014939594849,11.5222998716052
"24",11.45,11.3988235294112,11.4114988223415,11.4885066239788
