"","OBS","ARIMA","ETS","NNAR","FTS_GA"
"1",194735,194540.265112927,183013.769386803,NA,NA
"2",182581,193866.638300851,187517.99252846,NA,NA
"3",193820,185719.00642165,185542.800372858,NA,NA
"4",180526,192574.704377499,188707.862530261,NA,NA
"5",155533,183067.689039432,185470.645047477,NA,NA
"6",176760,165936.073149627,173768.906523076,NA,NA
"7",211944,178896.649017196,174874.518216001,NA,NA
"8",197607,201976.749586952,189238.023960933,NA,176312.738545117
"9",207369,194047.608101988,192439.811943826,NA,200001.19129047
"10",213767,201092.738121583,198194.571422347,NA,202097.12678852
"11",199959,206226.692987001,204201.065191305,NA,178674.369247189
"12",210961,198258.745547944,202500.637456709,NA,205400.900442294
"13",198855,205742.477040426,205741.440621191,NA,177639.829595093
"14",182962,198516.879401389,203012.687173883,NA,161639.833927787
"15",206894,188128.848658918,195161.927516596,NA,210832.077059212
"16",194561,203108.595006239,199673.683945881,NA,173332.704403798
"17",183640,195545.180288278,197633.458681856,NA,162516.002314245
"18",190099,188226.955869474,192137.813623036,161790.211922866,178499.161659664
"19",212794,191812.666256782,191291.512677589,171860.583716192,228848.405213586
"20",184761,206470.263815714,199603.335100575,205128.478301496,163253.348520276
"21",219343,188973.473623764,193777.996692603,171598.012783771,245114.135119497
"22",205415,211079.400143041,203670.935210768,180563.97298582,184127.749796078
"23",202943,203124.459014203,204299.314938068,178797.295983243,184112.443786013
"24",221843,201832.595424044,203721.721111581,171600.799396629,230198.980990444
"25",188600,214404.816508617,210721.405438856,179869.855926384,165716.259941267
"26",207656,193646.176453403,202067.196497936,173685.098401699,216320.038611608
"27",208897,205432.980946408,204190.942659991,173569.903332578,192359.945280885
"28",177689,206568.372135206,205971.830906523,164843.963220244,155189.572781031
"29",190778,186409.008496509,194919.445572822,165253.192735381,188515.916568643
"30",190518,193746.625912091,193256.011417915,160319.167246851,172939.863958184
"31",234951,193147.743270804,192138.144380442,165564.434019485,260218.757126119
"32",212376,221948.680144965,208740.763657308,182755.103920568,190466.706064732
