"","OBS","ARIMA","ETS","FTS_SA"
"1",2317,2314.68300134363,2100.05528842696,NA
"2",2144,2304.63985254743,2390.38386256496,NA
"3",2660,2205.37176358761,2500.4843347373,NA
"4",2449,2550.29618118395,2768.46820901691,NA
"5",2788,2432.87152415572,2850.12782043385,835.945272070445
"6",2740,2665.7784555716,3031.86921680216,1766.72330919939
"7",2846,2655.06165511666,3124.22756870996,1261.6551567439
"8",2740,2738.77703652844,3221.86377569173,1535.4595795182
"9",2635,2684.35442601054,3240.25109084502,1240.25320880013
"10",2646,2623.27773721909,3210.58856409463,1099.32732327584
"11",2264,2631.14002694876,3196.68454950531,1184.82385587839
"12",2313,2381.2930973908,3039.5228353468,635.320256809303
"13",4633,2400.08272588269,2962.47142492377,922.705949431637
"14",4333,3914.75070941152,3817.87786653001,4999.22269427312
"15",5308,3823.10263338389,4223.96089749506,2823.43493765814
"16",4920,4538.34086384326,4851.42253731916,5274.12264997751
"17",5563,4395.34611164889,5083.94517001405,3183.02629042164
"18",5453,4893.98421813585,5476.16362874169,4980.12067241417
"19",5566,4918.60681388066,5673.05077412648,3912.42197739598
"20",5561,5070.15622954842,5837.30079117442,4263.53337473678
"21",5202,5138.5063688229,5935.69637391689,4127.6142407515
"22",5264,4963.74326344115,5856.12265529423,3638.93783599871
"23",4584,5038.83214523512,5831.5523207125,3876.15661815102
"24",4596,4624.72094828881,5551.93944097565,2743.33453611603
"25",7188,4626.82327698119,5385.64864436498,3180.79449055606
"26",6742,6324.70108955186,6292.32655949114,7727.43232572697
"27",8307,6156.42709969559,6672.94926457816,5159.08918184782
"28",7764,7268.74178703338,7514.37800064435,9381.57765706172
"29",8754,7061.9820678215,7817.3826005183,5916.17732494668
"30",8578,7813.45957221868,8387.67558669273,8746.44350776565
"31",8815,7833.60333657746,8667.73013302374,6974.53487413347
"32",8818,8096.66845634677,8931.05410128032,7661.92221587309
"33",8221,8202.29363646788,9093.11835566898,7393.1410308734
"34",8305,7899.07415326988,8959.87076606146,6583.18770802304
"35",7249,8000.69107731298,8911.05230085034,6935.56105370771
"36",7373,7351.09975171761,8470.34216491481,5241.01005498655
"37",10258,7417.80360900015,8249.15632479875,6065.88021990721
"38",9545,9305.99037533632,9236.26747679695,11102.2922157208
"39",11759,8975.11855502751,9562.18130509529,7934.53920915168
"40",10896,10511.3387990006,10622.6525769477,14129.778648025
"41",12214,10124.6188065692,10935.0510139916,8881.98361324484
"42",11930,11101.489055579,11638.6883090336,12808.7803103023
"43",12204,11075.5103885861,11958.2306578602,10231.0738085714
"44",12054,11378.7523347159,12260.0846917982,11097.8120689799
