"","OBS","ARIMA","ETS","NNAR","FTS_GA"
"1",2,1.99910557294605,-1.04181818181818,NA,NA
"2",2,2.00268327122272,6.80305789516203,518.477060774632,NA
"3",7,2.96069632019495,6.10089885775074,518.477060774632,NA
"4",8,10.6573335859153,11.2319150155562,523.370408742034,NA
"5",8,8.23457654238839,11.7593265670219,524.349082165412,NA
"6",18,9.1602548730328,11.2091892423425,524.349082165412,NA
"7",19,24.5400919588963,22.2019920169878,534.135886609205,NA
"8",28,19.5341001803788,22.7343691808782,535.114574074178,NA
"9",31,33.5877403812553,32.5041650344807,543.922818694569,NA
"10",33,32.8427006122781,35.2847025252598,546.858923207605,NA
"11",37,35.4375648621427,36.950406701089,548.816332597213,NA
"12",42,41.1737039701612,40.9574313766754,552.731166690079,NA
"13",42,46.5981995135309,46.1099154830281,557.624738017636,NA
"14",46,44.0462352492142,45.5089308804866,557.624738017636,NA
"15",48,50.7552508966685,49.5803403173847,561.539618047536,NA
"16",57,51.2630649587558,51.3492593788502,563.497065718009,NA
"17",68,63.5450446783487,61.1755410217984,572.3056433889,NA
"18",73,74.0859363577388,73.17420613224,583.071823091566,NA
"19",77,75.5590412503112,78.149410468168,587.965592160253,309.201227637717
"20",87,80.3905160356404,81.9812879214069,591.880630372994,310.695715742986
"21",95,94.2510542153101,92.7151763778348,601.668315176954,321.522424175282
"22",106,100.803024420137,101.049841428919,609.498554833408,328.285865703519
"23",136,113.635972858891,112.774047189107,620.265267599651,358.285865703519
"24",176,152.41760636913,146.171415527432,649.629813639607,372.091797899842
"25",201,194.02066702416,190.536268715513,688.784325613757,403.855446402794
"26",223,210.348398762415,217.069607772401,713.256930444972,429.963426257142
"27",352,235.363230773548,239.937994015094,734.793480907349,534.938371124956
"28",401,418.677339464604,385.328030122986,861.088370740443,572.633727437101
"29",555,414.274272009975,436.631316261975,909.06639055608,691.716077354606
"30",684,631.264717657126,607.944699400502,1059.87428663921,804.976044024042
"31",816,740.324146221825,748.079880279008,1186.22350635265,937.974063739891
"32",960,883.212547515939,890.021031683236,1315.53286016505,1088.95253112567
"33",1154,1044.9520954591,1044.26248291654,1456.62268694048,1350.79960850016
"34",1284,1273.14818460787,1254.31896072874,1646.7433176889,1405.27668786034
"35",1484,1376.07012881995,1388.67088760529,1774.17019742775,1705.44015036734
"36",1683,1630.03651635576,1602.61605757206,1970.25290328193,1904.66197480497
"37",2006,1830.22128906608,1813.38201242781,2165.40481734124,2407.10894446381
"38",2193,2218.18838037313,2164.56107677277,2482.26393081922,2387.31652859256
"39",2459,2328.6552823943,2355.73962952041,2665.76786861937,2814.44651617887
"40",2690,2662.46655177477,2636.84464826062,2926.869359027,2987.47988569973
"41",2908,2883.17201680707,2875.62912397546,3153.686131517,3175.53872829177
"42",3298,3111.30204790233,3098.36878926375,3367.79842319527,3668.41239257693
"43",3604,3595.74477573868,3517.56875879437,3750.98833345833,3975.10791804303
"44",3999,3839.94038164449,3836.22958334214,4051.77465991931,4373.8990162075
"45",4507,4291.55166822627,4255.04394550487,4440.21219876963,5037.32187164841
"46",4898,4851.30785204615,4799.90964057304,4940.04834572063,5269.70790896149
