"","OBS","ARIMA","ETS","NNAR","FTS_GA"
"1",2.714285714,2.71157142990794,2.69079806749816,NA,NA
"2",3.714285714,2.79955271065034,3.48758376453342,NA,NA
"3",4.142857143,3.89275303437269,4.53476340937691,NA,NA
"4",3.714285714,4.36491941303571,4.8818026955535,NA,NA
"5",4.142857143,3.88949328548106,4.21022661692343,NA,21.6085929574928
"6",4.857142857,4.1769936721086,4.62465304096302,NA,22.4057851840172
"7",3.428571429,4.77756811978868,5.38731311658741,NA,20.0662639257482
"8",3.857142857,3.35136986900887,3.55114861423317,NA,21.3228786708904
"9",2.857142857,3.6371044380702,4.04318786091198,10.4892635825187,19.4628810685855
"10",3.714285714,2.69061425140372,2.79640238356377,8.67433573795813,21.3043909813808
"11",5,3.62201534195042,3.84443130623511,10.7897973649746,22.848369142715
"12",5.142857143,5.19394850697522,5.37072022114906,10.5240371452941,22.4364987185962
"13",5,5.65040057251842,5.46628260847843,10.7524552185841,22.2044521102503
"14",6.428571429,5.50433110776135,5.22636668010951,11.5859270058992,24.4523104229257
"15",7,6.65871624383053,6.90506926112767,13.1107760528606,24.5517978807505
"16",8.285714286,7.09325754636176,7.49638211315993,13.7141449497341,26.2679711998876
"17",11.28571429,8.37005645272303,8.94636817360797,14.7897521368169,29.8108181515275
"18",15.42857143,11.6668010450621,12.4332754368047,17.3913399127443,34.7775127127579
"19",18.28571429,16.4740750574052,17.1997106329027,21.9523091877388,37.2158437356564
"20",20.85714286,20.0329558212611,20.2831744232877,24.674008186179,39.6979151548989
"21",37.85714286,22.8068901411287,22.9741634981448,27.7336088406042,61.3359569066915
"22",43.71428571,39.8688884121588,43.0714025548522,47.7153005223018,64.457201963789
"23",64.14285714,47.5180318217749,49.0639277269137,47.8259692329684,92.6689606406324
"24",78.28571429,68.9412762664134,72.6305232022651,75.9833561531854,104.05583454852
"25",91.42857143,84.8172051178124,87.951854903715,84.0497481105518,116.590462272632
"26",108.4285714,98.2429211097565,101.81883048287,106.258160219842,135.938582049915
"27",133,114.052519991969,120.194703701339,123.418181202849,162.760557948988
"28",133.1428571,137.690162844318,147.431649087495,147.09369970074,154.234456830722
"29",154.7142857,138.06561648085,144.602354403648,145.702094340351,185.014113197515
"30",161.1428571,157.626108676839,168.276562618636,174.056045021314,182.231531955975
"31",188.8571429,164.19941067309,173.221680872042,172.257706435906,220.992980078894
"32",196.7142857,192.250180355061,204.188971764859,212.394888519225,218.667992386575
"33",214.1428571,203.100508089098,210.492295411488,203.652593927149,241.914109350487
"34",219.4285714,221.161231233297,228.679753830243,233.169273375133,240.576571854017
"35",232,225.649665453419,232.040670489324,238.111038965254,256.814507565229
"36",259.1428571,234.974937845932,244.602642752755,254.319411715616,289.80781463917
"37",274.4285714,260.436034392857,274.771342875674,279.728582982689,300.894282255177
"38",284.7142857,278.406442195104,289.987286036536,285.755331481786,308.811557948664
"39",330.5714286,291.543778246552,299.175641746725,305.346770717498,369.970514808637
"40",348.4285714,339.145844667075,351.565744201186,353.880067097605,376.461130371688
"41",381.1428571,361.377665577673,368.773404155087,366.080408987301,418.267811788087
"42",402.2857143,394.079280489142,404.061460853359,405.861950039903,432.323704144185
"43",413.7142857,413.230668330222,424.836109023679,415.749241028421,439.729456691468
"44",467.4285714,419.901859001151,433.95001642293,436.797368549874,510.997453922032
"45",476.4285714,469.374841281264,494.630062220323,487.883693975634,499.786834292369
"46",519.7142857,482.470037682362,499.845888473462,476.28096419378,563.334011690194
"47",535,528.803864090224,547.264302396437,538.022295339738,561.465710855177
"48",500.7142857,548.776091334686,559.999923132118,536.692689165608,510.270894290823
"49",514.4285714,511.225343991516,513.375434270372,511.315599929418,539.954905581548
"50",526.7142857,510.28909738981,527.302518059827,527.462864411479,551.368640606377
"51",564,514.682320549266,539.465933051568,518.247549670044,596.562964940906
"52",607.5714286,555.889838121873,581.857172125211,568.461486054847,649.425968658224
"53",617.8571429,615.913030082651,630.782421102774,599.87121874705,641.870432835593
"54",661.7142857,643.357464073751,638.381118773111,625.299561214686,705.597416027095
"55",700.7142857,690.043306924334,687.092552809639,687.086629490066,741.699805670193
"56",712,722.449263395451,728.92976622646,709.99794666061,736.033373807831
"57",717.1428571,720.91083946637,736.693824386122,723.050641575766,739.250716136741
"58",680.5714286,710.89171670422,737.766269792017,719.506783633646,688.334161156706
"59",660.2857143,663.980539605604,689.290383647948,678.58230466955,665.388199097653
"60",859.7142857,638.047235643907,662.962602771159,668.553441780737,937.229923581613
"61",882.4285714,850.780788311041,903.332476410189,867.722236524456,910.092944236585
"62",903.7142857,924.753514672255,921.717731157817,889.482200996885,933.839548331392
"63",990.4285714,970.255202430584,939.254649661948,954.916546633656,1059.5714569804
"64",1094.142857,1043.77826540743,1036.61639785517,1032.89859031685,1169.50290144259
"65",1189,1120.19502374035,1152.30754485225,1144.38012836614,1264.03230865401
"66",1364.428571,1194.66291993703,1254.80663345683,1327.76463141599,1465.62222360938
"67",1185.428571,1370.44057913069,1453.05168404933,1249.92748244262,1183.39122954626
"68",1186.714286,1209.82895825926,1218.37054780583,1172.53493638485,1206.49555518309
"69",1181.714286,1183.02757146591,1213.03981392213,1163.59934531441,1196.21949314387
"70",1087.428571,1154.97307617179,1201.51751257965,1098.32243695313,1056.58737379987
"71",1051.285714,1052.22793170413,1083.48630151999,1027.20070195877,1047.11102506519
"72",971.7142857,1013.74571879564,1040.63019584502,984.118313502465,943.499180431677
"73",927.8571429,946.706079993142,946.713774843341,902.989502747573,919.245017613753
"74",948.7142857,915.181275316817,898.925134371737,968.568383689707,961.195817897319
"75",955.8571429,948.785392683475,930.141474647743,932.291496540712,977.500008426608
"76",933.4285714,971.107437764065,942.641156095277,945.399530122861,937.266708766979
"77",950.5714286,953.0934452618,918.298186985086,961.862082444494,978.168512551077
"78",934.8571429,958.812999149534,942.156181062822,968.136097423773,942.66679012326
"79",970.5714286,929.782994694952,924.926414254833,961.827809729045,1003.73361424588
"80",893.7142857,955.459061214545,970.138734545534,991.264687127673,883.665810331102
