"","OBS","ARIMA","ETS","NNAR","FTS_GA"
"1",2,1.99800000153227,3.63,NA,NA
"2",0,1.6157025253227,3.3913711740181,NA,NA
"3",5,1.1591419151677,2.89488103799061,NA,NA
"4",1,4.10924151809564,3.20306635483511,NA,NA
"5",0,0.867338291909902,2.88054173040902,NA,27.4548292041906
"6",10,1.40240529521859,2.45883603021308,NA,49.9235104997639
"7",1,6.60889613784952,3.56284775085558,NA,18.3382524790531
"8",9,0.562770619150244,3.18765183063655,NA,50.5688916915356
"9",3,5.52177491964119,4.03856828453425,NA,21.8763411968499
"10",2,1.81294273617159,3.88652391003091,NA,29.4548292041906
"11",4,2.41245251173767,3.61034048313676,NA,36.3602482254597
"12",5,4.15458640698252,3.6673858776409,NA,35.7464004885549
"13",0,4.58871361035857,3.86247799022094,NA,23.4882058950827
"14",4,2.04291467524478,3.29701873366427,NA,37.6069795046022
"15",2,4.75522227470541,3.39993382217529,NA,27.7780602846074
"16",9,3.26491398924033,3.19498623663048,NA,46.2966087669573
"17",11,6.54744387299506,4.0448289477726,34.923822213826,43.3602482254597
"18",5,6.08827206624269,5.06305244635931,40.071256879778,26.7900247157095
"19",4,2.5611248203227,5.05382169099121,33.9761435704171,31.4548292041906
"20",10,3.39206675114142,4.89954424748477,38.8989701606907,44.8257527073115
"21",8,7.25206700685311,5.64624103778867,33.7169008867796,33.7780602846074
"22",11,5.80361864585265,5.99082676649841,26.1687039746349,44.9521962946009
"23",30,7.63615831122384,6.72415997376863,43.7198367451274,75.5171396859032
"24",40,16.4172831464147,10.1316976297209,50.2869571758761,84.448495061629
"25",25,18.019750186804,14.504358935667,66.5367309384677,41.6337182957889
"26",22,9.34712878526068,16.0409003498445,63.322846655691,46.0813002845484
"27",129,12.3618980522046,16.9133009347683,55.1055912751681,204.995074015189
"28",49,66.6748721168713,33.3225754170524,88.0006412898265,-4.72605771870123
"29",154,13.2709560014587,35.6177198481251,70.062486415174,240.055552466067
"30",129,76.2602733065575,52.9486551424212,128.781795875397,111.895376101818
"31",132,56.318408304725,64.0824239385616,116.802785955205,165.952196294601
"32",144,67.2061524814355,74.0254248214314,131.340001898172,191.228702343469
"33",194,84.9453631259858,84.2695663695567,119.423363705602,256.343818353707
"34",130,119.140909304508,100.333888180426,186.33168726736,103.792701972738
