"","OBS","ARIMA","ETS","NNAR","FTS_GA"
"1",0,0,0,NA,NA
"2",0,0,0.1,36.7974044183238,NA
"3",0,0,0.0779841383258483,36.7974044183238,NA
"4",0,0,0.0608052270772835,36.7974044183238,NA
"5",0,0,0.0474106096273812,36.7974044183238,NA
"6",0,0,0.036966655882609,36.7974044183238,NA
"7",0,0,0.028823372192076,36.7974044183238,NA
"8",0,0,0.022473950231289,36.7974044183238,NA
"9",0,0,0.0175232250977666,36.7974044183238,4.61777781840518
"10",0,0,0.0136630816864359,36.7974044183238,4.61777781840518
"11",0,0,0.0106532787274424,36.7974044183238,4.61777781840518
"12",0,0,0.00830649704431217,36.7974044183238,4.61777781840518
"13",0,0,0.00647668149050033,36.7974044183238,4.61777781840518
"14",1,0.000466857379283425,0.00504995100890493,36.7974044183238,6.01717117474591
"15",3,1.22410645601417,1.22409612783107,37.7751870040202,8.31874716509058
"16",4,3.62037193700499,3.61517647349131,39.7308227165004,9.08081963409802
"17",5,4.70506410262358,4.70007683372519,40.7086758307451,10.080819634098
"18",5,5.77077530350687,5.76614610566235,41.6865524419673,9.61777781840518
"19",6,5.59896238850075,5.59750252479136,41.6865524419673,11.080819634098
"20",6,6.68834195861574,6.68603895832049,42.6644525438969,10.6177778184052
"21",8,6.53493186546915,6.53504194566114,42.6644525438969,13.2371773013026
"22",9,8.86148368218283,8.85749626636373,44.6203231947929,14.080819634098
"23",10,9.89235769296311,9.889016644509,45.5982937312147,15.080819634098
"24",14,10.9163587559177,10.9134648814082,46.5762877332554,19.4693787448927
"25",21,15.6036592851941,15.5930033166338,50.4884982721205,26.4961003730952
"26",30,23.8064128441719,23.7837098445128,57.3357686917871,37.2415032280383
"27",34,34.1868478381322,34.1528220745182,66.1410858877034,39.101398618968
"28",46,38.1452061436538,38.1198005481591,70.0551671464318,57.4633375013593
"29",56,51.8958900049922,51.8546790291945,81.7996469355994,65.2909300476231
"30",65,62.8106172066041,62.7680976407691,91.5892695239963,72.7233697589715
"31",72,72.2985881729553,72.2598860034346,100.401911072157,77.6972525351808
"32",85,79.232038976427,79.2028937475993,107.257482411424,99.5030224192395
"33",102,93.517605558003,93.4791505714766,119.992255096974,121.278581764628
"34",115,112.408166183897,112.355670516009,136.651278901746,130.210900256051
"35",143,125.985835654326,125.938697183159,149.394995524958,167.042718672052
"36",160,157.777961380403,157.695155269815,176.856067820139,180.997245613082
"37",186,175.273210529955,175.204298155426,193.537522458948,210.786944491617
"38",205,203.664002831889,203.581296144487,219.062908376705,226.905003335885
"39",216,222.961770548311,222.894718964237,237.725633916348,229.859604285608
"40",234,232.4101276002,232.376929487653,248.534039476347,255.543527495445
"41",260,250.764479171263,250.733570821617,266.226299400242,284.450101893136
"42",282,278.822896730206,278.77381786555,291.794381816751,304.303704445715
"43",312,301.531011117022,301.485019198169,313.440465406597,341.059484119727
"44",352,333.864344658586,333.800306452216,342.974787440497,390.703550864494
"45",381,377.90642869636,377.808180590406,382.384002961997,410.75349981943
"46",415,407.595925433809,407.512712789078,410.976995067146,452.546552610863
"47",450,443.24614931866,443.16142376323,444.522387049182,488.134751189925
"48",508,479.751450975329,479.667746314773,479.079601849228,560.768776862679
"49",538,544.047501870783,543.906022088386,536.40136790583,569.754595708811
"50",565,572.699631594814,572.608602507634,566.077377545261,593.442909738286
"51",603,597.983533810357,597.932910657737,592.801227028019,641.603335740483
"52",628,637.101606332101,637.047710802049,630.437093949749,653.175592800976
"53",652,660.07303570905,660.056287598425,655.213013521771,675.097259019815
"54",691,682.273713426756,682.281718868278,679.009342113975,729.562426070735
"55",749,723.218632592102,723.200315438107,717.702049775042,805.012972329324
"56",803,786.964796800583,786.881212854189,775.298501139633,858.264586338799
"57",845,844.538731000514,844.432490760677,828.979223185517,885.043009357599
"58",927,886.64153886844,886.559049721917,870.767826395814,999.022791825542
"59",972,977.636653099347,977.462530322992,952.446193626618,1016.48701278723
"60",1047,1021.38035300546,1021.26396392668,997.319795905952,1122.90445313757
"61",1087,1102.0904728864,1101.92942607018,1072.18597831151,1125.76999088725
"62",1157,1138.7271006565,1138.64516591801,1112.1530457245,1228.71067958049
"63",1224,1212.79977370488,1212.68464319541,1182.15812182722,1293.91337042198
"64",1298,1282.29608580677,1282.17765771251,1249.23586431537,1370.29818289739
"65",1381,1359.79618214543,1359.66221777326,1323.40203490952,1465.40395573552
"66",1461,1447.52209979406,1447.3615015677,1406.68532126806,1540.89827709317
"67",1516,1530.52606100928,1530.36627495835,1487.05173729859,1572.79377007999
"68",1640,1582.28848518404,1582.20478384452,1542.35491703759,1741.75945331706
"69",1741,1719.15125679755,1718.92745757394,1667.18494453719,1838.55859424207
"70",1834,1825.02091573393,1824.79271555174,1769.00347658329,1925.15989007933
"71",1925,1920.0221785769,1919.82199270664,1862.86346044979,2014.54187996857
"72",2057,2012.13163793354,2011.96289923343,1954.79789055609,2181.94734765312
"73",2144,2154.13192116599,2153.87872445791,2088.30555623315,2232.49735566477
"74",2200,2238.87371345164,2238.70835591988,2176.39066052326,2255.3173056904
"75",2248,2286.20952053464,2286.18538686695,2233.12487728773,2302.7443193703
"76",2328,2325.69336327094,2325.77466199155,2281.77534063428,2411.60889532121
"77",2468,2406.20746763185,2406.26075886644,2362.9005086572,2603.86423184079
"78",2566,2559.97981850163,2559.85340802179,2504.98299902801,2660.63944943075
"79",2669,2659.32159959908,2659.21282641279,2604.51758656688,2772.00881252097
"80",2740,2764.47872637592,2764.36817359015,2709.19002530773,2811.7854789134
"81",2807,2830.02289545955,2830.00429197362,2781.37428114334,2876.91337042198
"82",2875,2891.89154087421,2891.93725444679,2849.51258328376,2945.87894543247
"83",2933,2956.12674570018,2956.20606432365,2918.68616069538,2996.40803342929
"84",3012,3008.97224492067,3009.0953502877,2977.69996958203,3089.97952790691
"85",3134,3088.64707250424,3088.7325060975,3058.09708751362,3244.16145714185
"86",3205,3220.75535592467,3220.69882631043,3182.28360568628,3276.95848039519
"87",3270,3288.24379422689,3288.24713531052,3254.56764948411,3336.96576044901
"88",3305,3349.17760814162,3349.22829645616,3320.74781748004,3355.6450686054
"89",3350,3374.33128049333,3374.48922547598,3356.38438636425,3394.48701278723
"90",3453,3413.90831238986,3414.09327482932,3402.20331048606,3553.72873844159
"91",3531,3525.62108749756,3525.65646905505,3507.07630658081,3607.2233878733
"92",3633,3604.81994223683,3604.83679625831,3586.48941472347,3737.35811834992
"93",3694,3713.10072776497,3713.03770425881,3690.32402723789,3756.65243633013
"94",3784,3769.84354789929,3769.84921473814,3752.41102924336,3874.13762090428
"95",3855,3862.99874510404,3862.96272233188,3843.99665109168,3926.84133336614
"96",3886,3932.21598074937,3932.21107989518,3916.22912563204,3926.15617112963
"97",3959,3952.91533958323,3953.03651370858,3947.76140731728,4031.07177639812
"98",4009,4027.27149177463,4027.34479106314,4021.99918095468,4061.92219356742
"99",4057,4073.19913244591,4073.30662544912,4072.83311466477,4107.271191284
"100",4102,4117.58866161261,4117.71474113889,4121.62210165439,4147.38556739896
"101",4148,4159.11425282741,4159.25336971269,4167.35072981677,4194.42980606335
"102",4234,4202.63710253549,4202.77426702171,4214.08378462117,4313.80072316326
"103",4252,4295.62728098619,4295.64775234989,4301.41990557906,4278.78951179984
"104",4339,4303.90361053267,4304.04145589281,4319.69354618426,4427.35484152389
"105",4425,4398.72591156942,4398.73350220164,4407.98466542394,4513.23239728982
"106",4488,4490.58189368865,4490.51980479448,4495.20620494812,4548.7978693041
"107",4610,4553.00643991736,4552.96768290848,4559.06381431532,4712.93058735856
"108",4708,4687.70919341676,4687.52358618157,4682.62760300788,4802.08137856266
"109",4751,4790.23161865142,4790.03736616484,4781.78372323657,4800.05649714401
"110",4782,4824.48765564246,4824.4450076643,4825.26094043604,4815.6407867955
"111",4829,4846.01798546199,4846.09645756254,4856.59313153497,4877.4042896249
"112",4894,4889.22500825428,4889.32826735934,4904.07730653464,4959.59132068966
"113",4968,4955.28926082982,4955.35507457083,4969.70699756439,5041.91430077252
"114",5068,5032.12223680535,5032.13943249422,5044.36519228207,5168.51356645469
"115",5116,5140.11869081367,5140.03571387303,5145.15040936511,5165.60471332529
"116",5143,5182.74310480553,5182.74764160927,5193.48288093784,5173.77797338866
"117",5163,5200.88514150383,5200.99444473682,5220.65681044754,5186.87686298733
"118",5234,5212.4412820026,5212.62565316356,5240.77946712919,5305.94454082745
"119",5323,5288.24629997457,5288.32758848783,5312.17152104266,5412.04070127489
"120",5409,5384.99222221517,5384.96316275469,5401.56434935349,5497.23239728982
"121",5482,5476.34308787134,5476.25855766175,5487.83536679148,5554.07177639812
"122",5556,5550.60390330793,5550.52499685474,5560.97832586071,5628.29818289739
"123",5595,5625.80658806808,5625.73094191097,5635.03867983215,5636.87529185902
"124",5652,5657.94040013704,5657.96580945868,5674.03528127302,5711.9865180358
"125",5715,5713.61640074976,5713.64930240998,5730.98552825506,5778.15274534886
"126",5772,5776.9247780505,5776.94607167915,5793.8672842733,5827.53692099705
